"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 15:15","https://sullygnome.com/channel/macarthur_js/stream/35098658048","75","75","1","2","0","0","1","0","Fortnite"
"2","Sunday 28th July 2019 19:45","https://sullygnome.com/channel/macarthur_js/stream/35077209680","15","15","1","4","0","0","0","0","Fortnite"
"3","Sunday 28th July 2019 19:15","https://sullygnome.com/channel/macarthur_js/stream/35076684160","0","0","2","4","0","0","0","0","Fortnite"
"4","Saturday 27th July 2019 21:00","https://sullygnome.com/channel/macarthur_js/stream/35066004960","0","0","2","2","0","0","0","0","Just Chatting"
"5","Thursday 25th July 2019 20:15","https://sullygnome.com/channel/macarthur_js/stream/35041758400","165","165","1","4","2","0","9","3","Just Chatting"
"6","Thursday 25th July 2019 05:15","https://sullygnome.com/channel/macarthur_js/stream/35035017008","0","0","1","1","0","0","0","0","Just Chatting"
"7","Thursday 25th July 2019 04:45","https://sullygnome.com/channel/macarthur_js/stream/35034718912","0","0","1","1","0","0","0","0","Grand Theft Auto: San Andreas"
"8","Thursday 25th July 2019 04:15","https://sullygnome.com/channel/macarthur_js/stream/35034588640","0","0","1","1","0","0","0","0","Fortnite"
"9","Wednesday 24th July 2019 22:00","https://sullygnome.com/channel/macarthur_js/stream/35030752032","135","270","2","3","0","0","8","3","Just Chatting"
"10","Wednesday 24th July 2019 16:30","https://sullygnome.com/channel/macarthur_js/stream/35027091040","60","120","2","4","1","0","10","8","Just Chatting"
"11","Monday 8th July 2019 00:45","https://sullygnome.com/channel/macarthur_js/stream/34820427920","60","120","2","3","1","0","4","3","Fortnite"
"12","Friday 5th July 2019 22:00","https://sullygnome.com/channel/macarthur_js/stream/34793550880","105","420","4","6","0","0","2","1","Fortnite"
"13","Wednesday 3rd July 2019 13:00","https://sullygnome.com/channel/macarthur_js/stream/34764101840","90","90","1","3","0","0","2","1","Fortnite"
"14","Tuesday 2nd July 2019 15:30","https://sullygnome.com/channel/macarthur_js/stream/34752642288","105","315","3","5","0","0","3","1","Fortnite"
