"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 10:19","https://sullygnome.com/channel/melibon/stream/35096507264","311","9019","29","43","83","15","588","112","Fortnite"
"2","Monday 29th July 2019 11:16","https://sullygnome.com/channel/melibon/stream/35084291456","314","6908","22","42","65","12","456","86","Fortnite"
"3","Saturday 27th July 2019 11:33","https://sullygnome.com/channel/melibon/stream/35060956272","657","8541","13","29","43","3","551","50","Fortnite"
"4","Thursday 25th July 2019 18:30","https://sullygnome.com/channel/melibon/stream/35040415744","15","105","7","9","2","4","0","0","Fortnite"
"5","Wednesday 24th July 2019 17:51","https://sullygnome.com/channel/melibon/stream/35027931952","189","4158","22","33","30","9","231","71","Fortnite"
"6","Monday 22nd July 2019 18:00","https://sullygnome.com/channel/melibon/stream/35003359856","255","2295","9","16","17","4","169","39","Fortnite"
"7","Monday 22nd July 2019 12:46","https://sullygnome.com/channel/melibon/stream/34999307904","119","2142","18","30","51","9","401","72","Fortnite"
"8","Saturday 20th July 2019 17:06","https://sullygnome.com/channel/melibon/stream/34977892128","144","1152","8","11","7","2","114","45","Fortnite"
"9","Saturday 20th July 2019 11:35","https://sullygnome.com/channel/melibon/stream/34974796720","235","2350","10","14","12","3","159","39","Fortnite"
"10","Friday 19th July 2019 09:51","https://sullygnome.com/channel/melibon/stream/34961498688","294","3528","12","18","10","2","229","45","Fortnite"
"11","Monday 15th July 2019 14:37","https://sullygnome.com/channel/melibon/stream/34913348144","398","12736","32","55","91","13","794","117","Fortnite"
"12","Monday 15th July 2019 09:53","https://sullygnome.com/channel/melibon/stream/34911459200","172","2408","14","23","21","7","154","51","Fortnite"
"13","Sunday 14th July 2019 18:15","https://sullygnome.com/channel/melibon/stream/34903592176","195","2730","14","22","17","5","139","42","Fortnite"
"14","Saturday 13th July 2019 18:45","https://sullygnome.com/channel/melibon/stream/34891069920","195","2340","12","18","18","5","165","47","Fortnite"
"15","Saturday 13th July 2019 11:12","https://sullygnome.com/channel/melibon/stream/34887319088","153","2754","18","24","23","8","172","62","Fortnite"
"16","Friday 12th July 2019 18:56","https://sullygnome.com/channel/melibon/stream/34878915664","199","1791","9","13","13","3","133","38","Fortnite"
"17","Friday 12th July 2019 09:13","https://sullygnome.com/channel/melibon/stream/34874074576","287","5166","18","24","38","8","316","66","Fortnite"
"18","Wednesday 10th July 2019 16:51","https://sullygnome.com/channel/melibon/stream/34852501648","294","4116","14","19","20","4","260","54","Fortnite"
"19","Wednesday 10th July 2019 10:27","https://sullygnome.com/channel/melibon/stream/34849495792","288","6048","21","41","414","82","411","82","Fortnite"
"20","Tuesday 9th July 2019 19:00","https://sullygnome.com/channel/melibon/stream/34841144480","120","1200","10","14","10","4","92","40","Fortnite"
"21","Tuesday 9th July 2019 17:00","https://sullygnome.com/channel/melibon/stream/34839836240","30","540","18","23","4","5","41","54","Fortnite"
"22","Tuesday 9th July 2019 09:38","https://sullygnome.com/channel/melibon/stream/34836632240","172","3268","19","24","21","7","196","65","Fortnite"
"23","Monday 8th July 2019 17:17","https://sullygnome.com/channel/melibon/stream/34827761744","343","4459","13","24","53","9","410","71","Fortnite"
"24","Monday 8th July 2019 12:27","https://sullygnome.com/channel/melibon/stream/34825198880","138","3036","22","33","30","12","212","84","Fortnite"
"25","Sunday 7th July 2019 18:27","https://sullygnome.com/channel/melibon/stream/34816449952","213","2556","12","16","31","8","189","50","Fortnite"
"26","Sunday 7th July 2019 09:26","https://sullygnome.com/channel/melibon/stream/34811828576","304","5168","17","27","38","7","354","67","Fortnite"
"27","Saturday 6th July 2019 20:00","https://sullygnome.com/channel/melibon/stream/34804637488","105","1365","13","22","23","11","120","60","Fortnite"
"28","Saturday 6th July 2019 17:55","https://sullygnome.com/channel/melibon/stream/34803480128","95","1045","11","16","8","5","101","67","Fortnite"
"29","Saturday 6th July 2019 13:03","https://sullygnome.com/channel/melibon/stream/34800731776","162","1944","12","18","4","1","124","49","Fortnite"
"30","Saturday 6th July 2019 11:15","https://sullygnome.com/channel/melibon/stream/34799993680","90","1620","18","30","24","13","94","53","Fortnite"
"31","Friday 5th July 2019 19:46","https://sullygnome.com/channel/melibon/stream/34792118608","89","1780","20","26","9","6","122","81","Fortnite"
"32","Friday 5th July 2019 16:07","https://sullygnome.com/channel/melibon/stream/34789662304","203","7308","36","48","77","23","591","181","Fortnite"
"33","Friday 5th July 2019 09:15","https://sullygnome.com/channel/melibon/stream/34786738464","345","6900","20","33","62","10","470","81","Fortnite"
"34","Monday 1st July 2019 16:36","https://sullygnome.com/channel/melibon/stream/34741060256","219","1752","8","12","9","2","134","38","Fortnite"
"35","Monday 1st July 2019 12:11","https://sullygnome.com/channel/melibon/stream/34738866240","139","2224","16","20","22","8","126","50","Fortnite"
