"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 01:04","https://sullygnome.com/channel/menthol/stream/35105406736","371","2968","8","15","0","0","100","16","Overwatch,Black Desert"
"2","Sunday 28th July 2019 22:44","https://sullygnome.com/channel/menthol/stream/35079093104","496","2976","6","10","-4","0","56","6","Teamfight Tactics,Black Desert"
"3","Saturday 27th July 2019 19:13","https://sullygnome.com/channel/menthol/stream/35064989984","722","5054","7","12","-2","0","128","10","Black Desert,Teamfight Tactics"
"4","Thursday 25th July 2019 21:15","https://sullygnome.com/channel/menthol/stream/35042398784","405","2835","7","12","-2","0","53","7","Teamfight Tactics,Black Desert"
"5","Tuesday 23rd July 2019 09:05","https://sullygnome.com/channel/menthol/stream/35011620720","760","6840","9","17","-2","0","93","7","Teamfight Tactics,Black Desert"
"6","Monday 22nd July 2019 07:54","https://sullygnome.com/channel/menthol/stream/34998941328","696","5568","8","12","-2","0","78","6","Teamfight Tactics"
"7","Sunday 21st July 2019 01:29","https://sullygnome.com/channel/menthol/stream/34984119408","1021","9189","9","18","-1","0","141","8","Teamfight Tactics"
"8","Saturday 20th July 2019 06:44","https://sullygnome.com/channel/menthol/stream/34973141392","286","2288","8","11","0","0","41","8","Black Desert,Teamfight Tactics"
"9","Thursday 18th July 2019 21:54","https://sullygnome.com/channel/menthol/stream/34955745456","51","459","9","10","0","0","28","28","Black Desert"
"10","Thursday 18th July 2019 15:16","https://sullygnome.com/channel/menthol/stream/34951359088","374","3366","9","15","0","0","68","10","Black Desert,Teamfight Tactics"
"11","Wednesday 17th July 2019 12:35","https://sullygnome.com/channel/menthol/stream/34937458608","400","5200","13","20","2","0","79","11","Overwatch,Black Desert"
"12","Tuesday 16th July 2019 09:26","https://sullygnome.com/channel/menthol/stream/34923697152","634","6974","11","18","3","0","116","10","Teamfight Tactics,Black Desert"
"13","Monday 15th July 2019 11:09","https://sullygnome.com/channel/menthol/stream/34911865632","501","5010","10","15","2","0","98","11","Overwatch,Teamfight Tactics,Black Desert"
"14","Sunday 14th July 2019 09:05","https://sullygnome.com/channel/menthol/stream/34898982864","415","4565","11","18","-2","0","78","11","Black Desert,Teamfight Tactics"
"15","Saturday 13th July 2019 09:45","https://sullygnome.com/channel/menthol/stream/34886795984","570","6840","12","21","3","0","123","12","Apex Legends,Teamfight Tactics,Black Desert"
"16","Friday 12th July 2019 05:58","https://sullygnome.com/channel/menthol/stream/34873083920","602","7826","13","23","-2","0","159","15","Overwatch,PUBG: BATTLEGROUNDS,Apex Legends,Teamfight Tactics"
"17","Thursday 11th July 2019 05:57","https://sullygnome.com/channel/menthol/stream/34860608512","558","6138","11","18","0","0","75","8","Black Desert"
"18","Wednesday 10th July 2019 02:09","https://sullygnome.com/channel/menthol/stream/34846289888","651","9114","14","28","2","0","129","11","Black Desert,Teamfight Tactics"
"19","Monday 8th July 2019 22:57","https://sullygnome.com/channel/menthol/stream/34831685056","723","10122","14","24","1","0","136","11","Black Desert,Teamfight Tactics"
"20","Monday 8th July 2019 02:36","https://sullygnome.com/channel/menthol/stream/34821614768","579","5790","10","18","1","0","107","10","Black Desert,Teamfight Tactics"
"21","Saturday 6th July 2019 21:24","https://sullygnome.com/channel/menthol/stream/34805963952","816","8976","11","29","-4","0","139","10","Black Desert,Teamfight Tactics"
"22","Friday 5th July 2019 22:26","https://sullygnome.com/channel/menthol/stream/34793926256","334","2672","8","12","-2","0","88","15","Black Desert"
"23","Friday 5th July 2019 04:09","https://sullygnome.com/channel/menthol/stream/34785047952","291","2328","8","13","-2","0","74","14","Apex Legends,Overwatch"
"24","Wednesday 3rd July 2019 21:36","https://sullygnome.com/channel/menthol/stream/34769532672","534","5340","10","16","0","0","115","12","Overwatch,Apex Legends"
"25","Tuesday 2nd July 2019 21:14","https://sullygnome.com/channel/menthol/stream/34756708544","601","6010","10","18","2","0","136","13","Apex Legends"
"26","Tuesday 2nd July 2019 17:59","https://sullygnome.com/channel/menthol/stream/34754307328","181","1086","6","9","0","0","49","15","Apex Legends,Teamfight Tactics"
"27","Monday 1st July 2019 14:30","https://sullygnome.com/channel/menthol/stream/34739880496","615","4920","8","17","-3","0","96","9","Teamfight Tactics"
