"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 19:45","https://sullygnome.com/channel/miao1996/stream/35101683952","30","90","3","6","0","0","7","9","MapleStory"
"2","Tuesday 30th July 2019 06:17","https://sullygnome.com/channel/miao1996/stream/35095286192","163","3260","20","27","4","1","205","74","MapleStory"
"3","Monday 29th July 2019 17:00","https://sullygnome.com/channel/miao1996/stream/35087068752","210","1470","7","13","1","0","95","25","MapleStory"
"4","Monday 29th July 2019 05:27","https://sullygnome.com/channel/miao1996/stream/35082552464","153","2754","18","28","7","2","157","57","MapleStory"
"5","Sunday 28th July 2019 19:18","https://sullygnome.com/channel/miao1996/stream/35076939936","132","924","7","12","0","0","42","18","MapleStory"
"6","Saturday 27th July 2019 18:12","https://sullygnome.com/channel/miao1996/stream/35064331200","93","1209","13","18","2","1","55","36","MapleStory"
"7","Saturday 27th July 2019 06:21","https://sullygnome.com/channel/miao1996/stream/35059327472","174","3654","21","25","5","1","146","48","MapleStory"
"8","Friday 26th July 2019 12:00","https://sullygnome.com/channel/miao1996/stream/35049207056","75","675","9","15","0","0","58","38","MapleStory"
"9","Friday 26th July 2019 05:39","https://sullygnome.com/channel/miao1996/stream/35047206208","321","7062","22","36","11","2","394","71","MapleStory"
"10","Thursday 25th July 2019 12:16","https://sullygnome.com/channel/miao1996/stream/35037279744","164","328","2","6","-2","0","30","10","League of Legends"
"11","Wednesday 24th July 2019 20:30","https://sullygnome.com/channel/miao1996/stream/35029398944","345","1035","3","7","2","0","57","9","MapleStory"
"12","Wednesday 24th July 2019 18:15","https://sullygnome.com/channel/miao1996/stream/35027914848","90","270","3","6","2","1","29","16","MapleStory"
"13","Tuesday 23rd July 2019 07:45","https://sullygnome.com/channel/miao1996/stream/35011182336","195","975","5","10","5","1","100","28","MapleStory"
"14","Sunday 21st July 2019 13:04","https://sullygnome.com/channel/miao1996/stream/34988787152","401","3208","8","13","2","0","100","16","MapleStory,League of Legends"
"15","Saturday 20th July 2019 15:49","https://sullygnome.com/channel/miao1996/stream/34976981520","236","708","3","6","0","0","23","5","League of Legends,MapleStory"
"16","Friday 19th July 2019 15:31","https://sullygnome.com/channel/miao1996/stream/34963936448","314","2198","7","14","1","0","103","18","MapleStory,League of Legends"
"17","Thursday 18th July 2019 13:48","https://sullygnome.com/channel/miao1996/stream/34950335792","507","2535","5","12","1","0","196","21","MapleStory"
"18","Wednesday 17th July 2019 11:19","https://sullygnome.com/channel/miao1996/stream/34936968240","566","3962","7","16","1","0","210","22","MapleStory"
"19","Tuesday 16th July 2019 19:00","https://sullygnome.com/channel/miao1996/stream/34928451360","15","15","1","2","0","0","0","0","League of Legends"
"20","Monday 15th July 2019 12:00","https://sullygnome.com/channel/miao1996/stream/34912193392","450","1350","3","14","3","0","101","13","MapleStory,League of Legends"
"21","Saturday 13th July 2019 18:45","https://sullygnome.com/channel/miao1996/stream/34890896944","105","210","2","4","0","0","6","3","League of Legends"
"22","Saturday 13th July 2019 16:45","https://sullygnome.com/channel/miao1996/stream/34890005552","60","240","4","6","0","0","9","7","League of Legends"
"23","Thursday 11th July 2019 14:41","https://sullygnome.com/channel/miao1996/stream/34863741376","64","256","4","7","0","0","16","12","League of Legends"
"24","Wednesday 10th July 2019 15:15","https://sullygnome.com/channel/miao1996/stream/34851480416","165","330","2","5","0","0","21","7","League of Legends"
"25","Tuesday 9th July 2019 09:30","https://sullygnome.com/channel/miao1996/stream/34836550592","120","480","4","5","0","0","17","7","League of Legends,Teamfight Tactics"
"26","Monday 8th July 2019 07:15","https://sullygnome.com/channel/miao1996/stream/34823445520","120","240","2","3","0","0","10","4","League of Legends"
"27","Monday 8th July 2019 06:00","https://sullygnome.com/channel/miao1996/stream/34823058848","45","90","2","4","0","0","13","13","League of Legends"
"28","Saturday 6th July 2019 13:45","https://sullygnome.com/channel/miao1996/stream/34801100784","45","45","1","3","0","0","5","5","League of Legends"
"29","Friday 5th July 2019 05:57","https://sullygnome.com/channel/miao1996/stream/34785732800","138","414","3","6","1","0","45","18","MapleStory"
"30","Wednesday 3rd July 2019 22:15","https://sullygnome.com/channel/miao1996/stream/34769889216","90","90","1","4","0","0","3","1","League of Legends"
"31","Wednesday 3rd July 2019 07:45","https://sullygnome.com/channel/miao1996/stream/34762143744","135","405","3","5","0","0","18","7","League of Legends,MapleStory"
"32","Tuesday 2nd July 2019 07:30","https://sullygnome.com/channel/miao1996/stream/34749523280","315","945","3","6","0","0","48","8","League of Legends"
