"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 12:29","https://sullygnome.com/channel/mipo_mapo_meepo/stream/35110548608","301","98126","326","477","32","6","1483","282","Dota 2"
"2","Tuesday 30th July 2019 11:49","https://sullygnome.com/channel/mipo_mapo_meepo/stream/35097046944","251","91113","363","483","17","4","1082","254","Dota 2"
"3","Monday 29th July 2019 11:39","https://sullygnome.com/channel/mipo_mapo_meepo/stream/35084429952","276","102396","371","465","20","4","1188","250","Dota 2"
"4","Sunday 28th July 2019 11:08","https://sullygnome.com/channel/mipo_mapo_meepo/stream/35072571680","307","118502","386","491","18","3","1019","203","Dota 2"
"5","Saturday 27th July 2019 10:50","https://sullygnome.com/channel/mipo_mapo_meepo/stream/35060695744","370","155400","420","525","38","6","1450","232","Dota 2"
"6","Friday 26th July 2019 10:28","https://sullygnome.com/channel/mipo_mapo_meepo/stream/35048668432","332","120184","362","465","29","5","1235","214","Dota 2"
"7","Thursday 25th July 2019 12:24","https://sullygnome.com/channel/mipo_mapo_meepo/stream/35037331728","291","97194","334","470","30","6","1140","228","Dota 2"
"8","Tuesday 23rd July 2019 12:17","https://sullygnome.com/channel/mipo_mapo_meepo/stream/35012750976","298","94764","318","499","21","4","1142","228","Dota 2"
"9","Monday 22nd July 2019 13:29","https://sullygnome.com/channel/mipo_mapo_meepo/stream/35000833920","256","91904","359","544","21","5","872","218","Dota 2"
"10","Sunday 21st July 2019 12:16","https://sullygnome.com/channel/mipo_mapo_meepo/stream/34988434784","299","103155","345","489","12","2","997","189","Dota 2"
"11","Saturday 20th July 2019 12:32","https://sullygnome.com/channel/mipo_mapo_meepo/stream/34975198400","298","107280","360","461","61","12","1171","234","Dota 2"
"12","Friday 19th July 2019 13:16","https://sullygnome.com/channel/mipo_mapo_meepo/stream/34962778752","239","103248","432","525","37","9","1072","285","Dota 2"
"13","Thursday 18th July 2019 12:50","https://sullygnome.com/channel/mipo_mapo_meepo/stream/34950180640","280","91840","328","405","11","2","943","198","Dota 2"
"14","Wednesday 17th July 2019 13:08","https://sullygnome.com/channel/mipo_mapo_meepo/stream/34937707088","172","32164","187","329","2","0","471","157","Dota 2"
"15","Tuesday 16th July 2019 12:06","https://sullygnome.com/channel/mipo_mapo_meepo/stream/34924622064","369","92250","250","330","1","0","1265","210","Dota 2"
"16","Tuesday 2nd July 2019 12:22","https://sullygnome.com/channel/mipo_mapo_meepo/stream/34751139312","293","73543","251","326","-6","-1","1038","207","Dota 2"
