"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","2745","3780","1","5","271","5.923497"
"2","Moonlighter","1155","2100","1","7","85","4.415584"
"3","Teamfight Tactics","405","720","1","5","42","6.222222"
"4","Katana ZERO","345","375","1","3","35","6.086956"
"5","Counter-Strike","255","435","1","4","22","5.17647"
"6","No Man's Sky","210","270","0","3","24","6.857142"
"7","Overcooked! 2","165","225","1","3","19","6.90909"
"8","Unlisted on Twitch","75","75","1","2","10","8"
"9","This War of Mine","75","105","1","2","10","8"
"10","Underhero","60","45","0","1","7","7"
"11","Portal 2","15","15","1","1","3","12"
