"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 11:55","https://sullygnome.com/channel/mrcrygoplay/stream/35110310544","125","20000","160","199","-1","0","125","55","World of Warcraft"
"2","Wednesday 31st July 2019 03:18","https://sullygnome.com/channel/mrcrygoplay/stream/35106928032","297","25542","86","130","3","0","387","77","World of Warcraft"
"3","Tuesday 30th July 2019 04:30","https://sullygnome.com/channel/mrcrygoplay/stream/35094643536","105","7455","71","124","-1","0","166","83","World of Warcraft"
"4","Monday 29th July 2019 12:10","https://sullygnome.com/channel/mrcrygoplay/stream/35084638192","185","33855","183","278","0","0","281","86","World of Warcraft"
"5","Monday 29th July 2019 04:10","https://sullygnome.com/channel/mrcrygoplay/stream/35082071424","275","29150","106","165","3","0","447","94","World of Warcraft"
"6","Sunday 28th July 2019 09:28","https://sullygnome.com/channel/mrcrygoplay/stream/35071981936","107","6955","65","136","-2","-1","106","53","World of Warcraft"
"7","Saturday 27th July 2019 13:17","https://sullygnome.com/channel/mrcrygoplay/stream/35061668192","73","6935","95","106","-3","-3","59","59","World of Warcraft"
"8","Saturday 27th July 2019 05:14","https://sullygnome.com/channel/mrcrygoplay/stream/35058908832","91","8554","94","123","0","0","83","55","PUBG: BATTLEGROUNDS"
"9","Friday 26th July 2019 09:53","https://sullygnome.com/channel/mrcrygoplay/stream/35048487088","277","39057","141","184","-7","-1","219","46","PUBG: BATTLEGROUNDS,Dota 2"
"10","Friday 26th July 2019 04:26","https://sullygnome.com/channel/mrcrygoplay/stream/35046723488","124","7192","58","110","5","2","89","39","Fortnite"
"11","Thursday 25th July 2019 03:32","https://sullygnome.com/channel/mrcrygoplay/stream/35034241952","163","9128","56","129","22","7","161","53","Fortnite"
"12","Wednesday 24th July 2019 11:13","https://sullygnome.com/channel/mrcrygoplay/stream/35024634288","137","13837","101","133","7","2","239","95","Fortnite"
"13","Wednesday 24th July 2019 04:23","https://sullygnome.com/channel/mrcrygoplay/stream/35022451856","232","12992","56","79","18","4","271","67","Fortnite"
"14","Tuesday 23rd July 2019 11:16","https://sullygnome.com/channel/mrcrygoplay/stream/35012361216","164","22140","135","199","-4","-1","106","35","Teamfight Tactics,Fortnite"
"15","Tuesday 23rd July 2019 04:43","https://sullygnome.com/channel/mrcrygoplay/stream/35010200528","257","21588","84","177","24","5","238","52","Fortnite"
"16","Thursday 18th July 2019 15:36","https://sullygnome.com/channel/mrcrygoplay/stream/34951531776","294","25284","86","113","0","0","194","38","Fortnite,Counter-Strike: Global Offensive"
"17","Thursday 18th July 2019 04:55","https://sullygnome.com/channel/mrcrygoplay/stream/34947524288","200","15200","76","100","24","6","237","67","Fortnite"
"18","Wednesday 17th July 2019 05:36","https://sullygnome.com/channel/mrcrygoplay/stream/34935146448","234","18018","77","112","24","6","265","66","Fortnite"
"19","Tuesday 16th July 2019 09:29","https://sullygnome.com/channel/mrcrygoplay/stream/34923707648","241","18798","78","112","6","1","202","47","Counter-Strike: Global Offensive,Grand Theft Auto V,Fortnite"
"20","Tuesday 16th July 2019 06:37","https://sullygnome.com/channel/mrcrygoplay/stream/34922866000","113","5876","52","69","4","2","70","35","Fortnite"
"21","Monday 15th July 2019 11:57","https://sullygnome.com/channel/mrcrygoplay/stream/34912160160","153","8721","57","69","11","4","116","46","Fortnite"
"22","Monday 15th July 2019 05:03","https://sullygnome.com/channel/mrcrygoplay/stream/34910002768","237","16827","71","140","18","4","310","82","Fortnite"
"23","Friday 12th July 2019 06:16","https://sullygnome.com/channel/mrcrygoplay/stream/34873186080","29","1305","45","69","2","2","10","13","Fortnite"
"24","Thursday 11th July 2019 11:17","https://sullygnome.com/channel/mrcrygoplay/stream/34862256496","223","30328","136","191","-7","-2","215","61","Teamfight Tactics"
"25","Thursday 11th July 2019 05:11","https://sullygnome.com/channel/mrcrygoplay/stream/34860327440","184","10856","59","95","13","4","197","60","Grand Theft Auto V"
"26","Monday 8th July 2019 07:57","https://sullygnome.com/channel/mrcrygoplay/stream/34823680128","468","36972","79","175","4","0","447","55","Grand Theft Auto V"
"27","Sunday 7th July 2019 04:38","https://sullygnome.com/channel/mrcrygoplay/stream/34810095120","412","36256","88","123","38","5","742","106","Grand Theft Auto V"
"28","Saturday 6th July 2019 10:56","https://sullygnome.com/channel/mrcrygoplay/stream/34799830672","304","24320","80","168","14","2","192","36","Grand Theft Auto V"
"29","Saturday 6th July 2019 03:24","https://sullygnome.com/channel/mrcrygoplay/stream/34796923472","336","19488","58","83","28","4","389","67","Fortnite,Grand Theft Auto V"
"30","Friday 5th July 2019 14:52","https://sullygnome.com/channel/mrcrygoplay/stream/34788980848","173","17819","103","123","-2","0","112","40","Grand Theft Auto V"
"31","Friday 5th July 2019 13:03","https://sullygnome.com/channel/mrcrygoplay/stream/34788124144","102","9996","98","137","-5","-2","100","57","Grand Theft Auto V"
"32","Friday 5th July 2019 04:17","https://sullygnome.com/channel/mrcrygoplay/stream/34785109104","148","7252","49","62","12","4","74","29","Fortnite"
"33","Thursday 4th July 2019 06:06","https://sullygnome.com/channel/mrcrygoplay/stream/34774274336","159","7950","50","64","6","2","113","41","Fortnite"
"34","Wednesday 3rd July 2019 10:20","https://sullygnome.com/channel/mrcrygoplay/stream/34763049120","175","18725","107","131","25","8","224","74","Fortnite"
