"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 15:15","https://sullygnome.com/channel/mrflashless/stream/35074384976","195","585","3","6","-2","0","20","5","Dota Underlords"
"2","Thursday 25th July 2019 17:30","https://sullygnome.com/channel/mrflashless/stream/35039769584","90","90","1","1","-2","-1","10","5","Apex Legends"
"3","Monday 22nd July 2019 09:28","https://sullygnome.com/channel/mrflashless/stream/34999378464","317","1902","6","11","-2","0","59","10","Black Desert,World of Warcraft"
"4","Sunday 21st July 2019 10:00","https://sullygnome.com/channel/mrflashless/stream/34987591984","165","495","3","6","-2","0","18","6","Apex Legends,Overwatch"
"5","Friday 19th July 2019 16:01","https://sullygnome.com/channel/mrflashless/stream/34964216176","164","656","4","6","2","0","62","20","Killsquad"
"6","Thursday 18th July 2019 20:30","https://sullygnome.com/channel/mrflashless/stream/34954396080","90","270","3","8","0","0","22","12","Killsquad"
"7","Saturday 13th July 2019 17:35","https://sullygnome.com/channel/mrflashless/stream/34890658240","130","910","7","9","0","0","20","8","Apex Legends"
"8","Saturday 13th July 2019 09:30","https://sullygnome.com/channel/mrflashless/stream/34886626656","210","1260","6","10","-2","0","53","14","Black Desert"
"9","Friday 12th July 2019 20:00","https://sullygnome.com/channel/mrflashless/stream/34879532880","60","240","4","6","0","0","14","11","Apex Legends"
"10","Friday 12th July 2019 17:45","https://sullygnome.com/channel/mrflashless/stream/34877945936","105","840","8","10","1","0","17","8","Apex Legends"
"11","Tuesday 9th July 2019 15:00","https://sullygnome.com/channel/mrflashless/stream/34838897616","315","1575","5","9","0","0","66","12","Dota Underlords,Apex Legends"
"12","Saturday 6th July 2019 12:15","https://sullygnome.com/channel/mrflashless/stream/34800378624","225","1350","6","9","6","1","58","15","DOOM"
"13","Saturday 6th July 2019 10:15","https://sullygnome.com/channel/mrflashless/stream/34799745536","105","315","3","9","0","0","28","14","DOOM"
"14","Tuesday 2nd July 2019 19:15","https://sullygnome.com/channel/mrflashless/stream/34755087392","225","450","2","5","-1","0","24","6","Apex Legends"
