"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 07:00","https://sullygnome.com/channel/muppetlounge/stream/35108621120","225","2925","13","28","0","0","95","23","Tom Clancy's The Division 2"
"2","Tuesday 30th July 2019 11:46","https://sullygnome.com/channel/muppetlounge/stream/35097028544","164","3608","22","38","2","0","101","33","Tom Clancy's The Division 2"
"3","Monday 29th July 2019 19:33","https://sullygnome.com/channel/muppetlounge/stream/35088960912","102","1530","15","29","0","0","39","19","Tom Clancy's The Division 2"
"4","Sunday 28th July 2019 07:30","https://sullygnome.com/channel/muppetlounge/stream/35071384480","240","8880","37","51","4","0","218","51","Tom Clancy's The Division 2"
"5","Saturday 27th July 2019 08:00","https://sullygnome.com/channel/muppetlounge/stream/35059833248","315","11970","38","54","4","0","224","40","Tom Clancy's The Division 2"
"6","Friday 26th July 2019 13:38","https://sullygnome.com/channel/muppetlounge/stream/35049890592","247","7163","29","37","3","0","151","37","Tom Clancy's The Division 2"
"7","Thursday 25th July 2019 08:45","https://sullygnome.com/channel/muppetlounge/stream/35036123328","720","19440","27","47","5","0","345","28","Tom Clancy's The Division 2"
"8","Wednesday 24th July 2019 10:05","https://sullygnome.com/channel/muppetlounge/stream/35024266528","190","6080","32","46","1","0","121","37","Tom Clancy's The Division 2"
"9","Tuesday 23rd July 2019 10:52","https://sullygnome.com/channel/muppetlounge/stream/35012214176","353","9178","26","40","2","0","154","25","Tom Clancy's The Division 2"
"10","Monday 22nd July 2019 07:00","https://sullygnome.com/channel/muppetlounge/stream/34998693440","450","14400","32","46","6","0","316","40","Tom Clancy's The Division 2"
"11","Sunday 21st July 2019 04:44","https://sullygnome.com/channel/muppetlounge/stream/34985821952","376","11280","30","55","5","0","235","36","Tom Clancy's The Division 2"
"12","Saturday 20th July 2019 07:00","https://sullygnome.com/channel/muppetlounge/stream/34973234720","195","3900","20","29","1","0","87","26","Tom Clancy's The Division 2"
"13","Friday 19th July 2019 04:15","https://sullygnome.com/channel/muppetlounge/stream/34959625600","360","5760","16","31","3","0","123","19","Tom Clancy's The Division 2"
"14","Thursday 18th July 2019 15:22","https://sullygnome.com/channel/muppetlounge/stream/34951405648","188","3008","16","22","2","0","55","16","Tom Clancy's The Division 2"
"15","Thursday 18th July 2019 07:05","https://sullygnome.com/channel/muppetlounge/stream/34948271680","310","4960","16","24","3","0","104","19","Tom Clancy's The Division 2"
"16","Wednesday 17th July 2019 07:45","https://sullygnome.com/channel/muppetlounge/stream/34935787536","120","960","8","12","0","0","37","16","Tom Clancy's The Division 2"
"17","Tuesday 16th July 2019 08:36","https://sullygnome.com/channel/muppetlounge/stream/34923445664","174","2262","13","20","0","0","43","15","Tom Clancy's The Division 2"
"18","Monday 15th July 2019 16:31","https://sullygnome.com/channel/muppetlounge/stream/34914414400","254","4318","17","22","0","0","93","21","Tom Clancy's The Division 2"
"19","Sunday 14th July 2019 19:16","https://sullygnome.com/channel/muppetlounge/stream/34904347088","104","728","7","11","-1","0","29","14","Tom Clancy's The Division 2"
"20","Saturday 13th July 2019 07:59","https://sullygnome.com/channel/muppetlounge/stream/34886256864","496","10912","22","34","4","0","195","22","Tom Clancy's The Division 2"
"21","Thursday 11th July 2019 09:28","https://sullygnome.com/channel/muppetlounge/stream/34861667040","347","6940","20","32","3","0","146","24","Tom Clancy's The Division 2"
"22","Wednesday 10th July 2019 07:36","https://sullygnome.com/channel/muppetlounge/stream/34848646048","324","5832","18","24","1","0","124","22","Tom Clancy's The Division 2"
"23","Tuesday 9th July 2019 17:18","https://sullygnome.com/channel/muppetlounge/stream/34840262448","192","4032","21","31","0","0","79","24","Tom Clancy's The Division 2"
"24","Tuesday 9th July 2019 09:19","https://sullygnome.com/channel/muppetlounge/stream/34836542688","236","5900","25","39","0","0","113","28","Tom Clancy's The Division 2"
"25","Monday 8th July 2019 07:46","https://sullygnome.com/channel/muppetlounge/stream/34823625840","719","12942","18","33","2","0","285","23","Tom Clancy's The Division 2"
"26","Sunday 7th July 2019 08:29","https://sullygnome.com/channel/muppetlounge/stream/34811508896","256","5120","20","29","3","0","123","28","Tom Clancy's The Division 2"
"27","Saturday 6th July 2019 10:52","https://sullygnome.com/channel/muppetlounge/stream/34799806912","368","9200","25","34","1","0","189","28","Tom Clancy's The Division 2"
"28","Friday 5th July 2019 06:57","https://sullygnome.com/channel/muppetlounge/stream/34786055408","123","1353","11","20","0","0","26","13","Tom Clancy's The Division 2"
"29","Thursday 4th July 2019 18:48","https://sullygnome.com/channel/muppetlounge/stream/34779979760","117","1053","9","12","0","0","33","16","Tom Clancy's The Division 2"
"30","Thursday 4th July 2019 09:09","https://sullygnome.com/channel/muppetlounge/stream/34775239584","171","2565","15","29","1","0","69","23","Tom Clancy's The Division 2"
"31","Tuesday 2nd July 2019 07:00","https://sullygnome.com/channel/muppetlounge/stream/34749418944","195","1755","9","18","0","0","59","16","Tom Clancy's The Division 2"
"32","Monday 1st July 2019 07:15","https://sullygnome.com/channel/muppetlounge/stream/34737239456","150","1650","11","21","-2","0","50","18","Tom Clancy's The Division 2"
