"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 08:00","https://sullygnome.com/channel/naseaxt950/stream/35108913568","240","960","4","10","3","0","16","3","Forza Horizon 4"
"2","Tuesday 30th July 2019 09:00","https://sullygnome.com/channel/naseaxt950/stream/35096055440","225","900","4","10","5","1","38","9","Forza Horizon 4"
"3","Saturday 27th July 2019 09:15","https://sullygnome.com/channel/naseaxt950/stream/35060152848","210","840","4","10","2","0","13","3","Forza Horizon 4"
"4","Friday 26th July 2019 13:00","https://sullygnome.com/channel/naseaxt950/stream/35049518560","405","1215","3","8","1","0","34","4","Forza Horizon 4"
"5","Thursday 25th July 2019 08:25","https://sullygnome.com/channel/naseaxt950/stream/35036028000","185","555","3","5","0","0","12","4","Forza Horizon 4"
"6","Wednesday 24th July 2019 07:45","https://sullygnome.com/channel/naseaxt950/stream/35023562256","225","675","3","6","0","0","19","4","Forza Horizon 4"
"7","Tuesday 23rd July 2019 10:15","https://sullygnome.com/channel/naseaxt950/stream/35011985872","210","630","3","5","1","0","11","2","Forza Horizon 4"
"8","Saturday 20th July 2019 12:57","https://sullygnome.com/channel/naseaxt950/stream/34975391360","768","3072","4","9","2","0","32","2","Forza Horizon 4"
"9","Friday 19th July 2019 23:30","https://sullygnome.com/channel/naseaxt950/stream/34969168128","75","75","1","2","0","0","3","2","Halo 5: Guardians"
"10","Friday 19th July 2019 14:45","https://sullygnome.com/channel/naseaxt950/stream/34963538144","435","870","2","10","2","0","40","5","Forza Horizon 4"
"11","Saturday 13th July 2019 07:57","https://sullygnome.com/channel/naseaxt950/stream/34886245472","858","2574","3","6","1","0","61","4","Forza Horizon 4"
"12","Friday 12th July 2019 20:45","https://sullygnome.com/channel/naseaxt950/stream/34880211056","105","210","2","5","0","0","3","1","World War Z"
"13","Friday 12th July 2019 12:15","https://sullygnome.com/channel/naseaxt950/stream/34875000896","465","1395","3","6","-2","0","28","3","Forza Horizon 4"
"14","Saturday 6th July 2019 20:15","https://sullygnome.com/channel/naseaxt950/stream/34804881984","195","195","1","3","0","0","11","3","World War Z"
"15","Saturday 6th July 2019 15:41","https://sullygnome.com/channel/naseaxt950/stream/34802107744","229","458","2","5","1","0","15","3","Forza Horizon 4,World War Z"
"16","Saturday 6th July 2019 10:15","https://sullygnome.com/channel/naseaxt950/stream/34799809040","135","540","4","5","0","0","15","6","Forza Horizon 4"
"17","Friday 5th July 2019 13:00","https://sullygnome.com/channel/naseaxt950/stream/34788056208","405","810","2","4","1","0","11","1","Forza Horizon 4"
