"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/35110410992","261","45153","173","235","13","2","1031","229","Just Chatting"
"2","Tuesday 30th July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/35097194304","231","38577","167","190","16","4","952","272","Just Chatting"
"3","Monday 29th July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/35084632432","261","42804","164","187","14","3","1085","255","Just Chatting"
"4","Saturday 27th July 2019 13:10","https://sullygnome.com/channel/nineunni/stream/35061621168","305","48190","158","208","26","4","1246","237","Just Chatting"
"5","Friday 26th July 2019 13:10","https://sullygnome.com/channel/nineunni/stream/35049690432","275","40700","148","177","18","3","1116","234","Just Chatting"
"6","Thursday 25th July 2019 12:13","https://sullygnome.com/channel/nineunni/stream/35037260208","287","47642","166","210","9","1","1244","248","Just Chatting"
"7","Tuesday 23rd July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/35012698608","231","39501","171","220","20","5","1197","299","Just Chatting"
"8","Monday 22nd July 2019 12:15","https://sullygnome.com/channel/nineunni/stream/35000279696","240","43200","180","218","30","7","1231","289","Just Chatting"
"9","Saturday 20th July 2019 13:10","https://sullygnome.com/channel/nineunni/stream/34975517952","260","53820","207","244","43","10","1391","327","Just Chatting"
"10","Saturday 20th July 2019 07:16","https://sullygnome.com/channel/nineunni/stream/34973331168","59","10974","186","214","3","3","635","635","Just Chatting"
"11","Friday 19th July 2019 13:10","https://sullygnome.com/channel/nineunni/stream/34962730832","260","56940","219","246","57","14","1351","337","Just Chatting"
"12","Thursday 18th July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/34949901248","261","46980","180","216","35","7","1225","272","Just Chatting"
"13","Wednesday 17th July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/34937288064","321","72546","226","530","207","37","2640","480","Just Chatting"
"14","Tuesday 16th July 2019 12:04","https://sullygnome.com/channel/nineunni/stream/34924606992","281","51704","184","231","38","8","1286","270","Just Chatting"
"15","Monday 15th July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/34912251728","276","59616","216","373","45","9","1686","354","Just Chatting"
"16","Saturday 13th July 2019 13:10","https://sullygnome.com/channel/nineunni/stream/34888162272","290","52780","182","218","39","8","1192","250","Just Chatting"
"17","Friday 12th July 2019 13:15","https://sullygnome.com/channel/nineunni/stream/34875516096","285","53010","186","238","55","11","1446","289","Just Chatting"
"18","Thursday 11th July 2019 12:08","https://sullygnome.com/channel/nineunni/stream/34862585872","262","45850","175","215","44","9","1209","268","Just Chatting"
"19","Tuesday 9th July 2019 12:10","https://sullygnome.com/channel/nineunni/stream/34837525264","305","45140","148","196","40","7","1129","215","Just Chatting"
"20","Monday 8th July 2019 12:14","https://sullygnome.com/channel/nineunni/stream/34825107664","271","46341","171","208","45","9","1542","324","Just Chatting"
"21","Saturday 6th July 2019 13:10","https://sullygnome.com/channel/nineunni/stream/34800792400","290","51910","179","218","49","10","1182","248","Just Chatting"
"22","Friday 5th July 2019 13:10","https://sullygnome.com/channel/nineunni/stream/34788173248","275","43725","159","190","41","9","1141","253","Just Chatting"
"23","Thursday 4th July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/34776279984","231","33726","146","178","17","4","912","228","Just Chatting"
"24","Wednesday 3rd July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/34763719088","231","34881","151","213","19","4","1011","252","Just Chatting"
"25","Tuesday 2nd July 2019 12:30","https://sullygnome.com/channel/nineunni/stream/34751062448","270","44820","166","209","24","5","1099","231","Just Chatting"
"26","Monday 1st July 2019 12:09","https://sullygnome.com/channel/nineunni/stream/34738855648","216","30672","142","176","19","5","846","225","Just Chatting"
