"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 10:59","https://sullygnome.com/channel/pawloex/stream/35109956672","451","16236","36","52","3","0","506","65","Gwent: The Witcher Card Game"
"2","Tuesday 30th July 2019 10:36","https://sullygnome.com/channel/pawloex/stream/35096600416","459","22950","50","83","7","0","2193","282","Ori and the Blind Forest,Gwent: The Witcher Card Game"
"3","Sunday 28th July 2019 08:52","https://sullygnome.com/channel/pawloex/stream/35071786960","353","10590","30","56","2","0","397","66","Ori and the Blind Forest,Gwent: The Witcher Card Game"
"4","Saturday 27th July 2019 11:21","https://sullygnome.com/channel/pawloex/stream/35060880512","429","6435","15","30","1","0","168","24","Ori and the Blind Forest,Gwent: The Witcher Card Game"
"5","Friday 26th July 2019 08:39","https://sullygnome.com/channel/pawloex/stream/35048127616","426","10650","25","47","1","0","487","69","Ori and the Blind Forest,Gwent: The Witcher Card Game"
"6","Thursday 25th July 2019 10:54","https://sullygnome.com/channel/pawloex/stream/35036785536","456","11400","25","53","1","0","481","62","Gwent: The Witcher Card Game,Ori and the Blind Forest"
"7","Tuesday 23rd July 2019 10:49","https://sullygnome.com/channel/pawloex/stream/35012195184","371","6307","17","49","1","0","216","34","The End Is Nigh,Gwent: The Witcher Card Game"
"8","Monday 22nd July 2019 11:16","https://sullygnome.com/channel/pawloex/stream/34999944352","419","13408","32","58","3","0","532","73","The End Is Nigh,Gwent: The Witcher Card Game"
"9","Sunday 21st July 2019 08:56","https://sullygnome.com/channel/pawloex/stream/34987260736","349","10819","31","56","1","0","387","64","The End Is Nigh,Gwent: The Witcher Card Game"
"10","Saturday 20th July 2019 09:05","https://sullygnome.com/channel/pawloex/stream/34973924480","355","9230","26","53","2","0","375","62","The End Is Nigh,Gwent: The Witcher Card Game"
"11","Friday 19th July 2019 11:07","https://sullygnome.com/channel/pawloex/stream/34961932992","413","12803","31","61","2","0","467","66","The End Is Nigh,Gwent: The Witcher Card Game"
"12","Thursday 18th July 2019 11:06","https://sullygnome.com/channel/pawloex/stream/34949499248","399","14763","37","58","2","0","477","70","The End Is Nigh,Gwent: The Witcher Card Game"
"13","Wednesday 17th July 2019 11:17","https://sullygnome.com/channel/pawloex/stream/34936957168","448","12096","27","52","4","0","492","65","The End Is Nigh,Gwent: The Witcher Card Game"
"14","Tuesday 16th July 2019 12:19","https://sullygnome.com/channel/pawloex/stream/34924709056","296","6512","22","33","1","0","122","24","Gwent: The Witcher Card Game"
"15","Sunday 14th July 2019 10:01","https://sullygnome.com/channel/pawloex/stream/34899294496","419","10475","25","51","3","0","436","60","The End Is Nigh,Gwent: The Witcher Card Game"
"16","Saturday 13th July 2019 10:45","https://sullygnome.com/channel/pawloex/stream/34887143664","390","5460","14","25","0","0","155","24","The End Is Nigh,Gwent: The Witcher Card Game"
"17","Friday 12th July 2019 10:50","https://sullygnome.com/channel/pawloex/stream/34874576256","340","8500","25","55","1","0","330","57","The End Is Nigh,Gwent: The Witcher Card Game"
"18","Thursday 11th July 2019 11:05","https://sullygnome.com/channel/pawloex/stream/34862184896","400","7600","19","108","7","1","264","39","The End Is Nigh,Gwent: The Witcher Card Game"
"19","Wednesday 10th July 2019 11:02","https://sullygnome.com/channel/pawloex/stream/34849699616","373","4476","12","25","1","0","143","22","Gwent: The Witcher Card Game,The End Is Nigh"
"20","Tuesday 9th July 2019 13:56","https://sullygnome.com/channel/pawloex/stream/34838324880","274","6576","24","42","1","0","265","55","Gwent: The Witcher Card Game"
"21","Thursday 4th July 2019 08:00","https://sullygnome.com/channel/pawloex/stream/34774887216","195","6045","31","52","1","0","344","98","Gwent: The Witcher Card Game"
"22","Wednesday 3rd July 2019 13:22","https://sullygnome.com/channel/pawloex/stream/34764257040","293","8790","30","52","1","0","265","53","Gwent: The Witcher Card Game"
"23","Tuesday 2nd July 2019 13:15","https://sullygnome.com/channel/pawloex/stream/34751316208","285","9120","32","48","0","0","324","64","Gwent: The Witcher Card Game"
"24","Monday 1st July 2019 14:20","https://sullygnome.com/channel/pawloex/stream/34738575568","220","8140","37","67","2","0","652","96","Jump King,Gwent: The Witcher Card Game"
