"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 18:00","https://sullygnome.com/channel/prepayed/stream/35100468768","525","1575","3","7","4","0","21","2","Just Chatting"
"2","Monday 29th July 2019 23:50","https://sullygnome.com/channel/prepayed/stream/35091830080","250","750","3","6","0","0","11","2","Overwatch"
"3","Monday 29th July 2019 22:00","https://sullygnome.com/channel/prepayed/stream/35090371808","45","90","2","2","0","0","1","1","Teamfight Tactics"
"4","Friday 26th July 2019 17:26","https://sullygnome.com/channel/prepayed/stream/35051903376","364","1456","4","9","5","0","17","2","Diablo III,Overwatch"
"5","Friday 26th July 2019 00:00","https://sullygnome.com/channel/prepayed/stream/35043965360","180","360","2","3","0","0","6","1","Diablo III"
"6","Thursday 25th July 2019 00:45","https://sullygnome.com/channel/prepayed/stream/35032554256","360","720","2","4","1","0","10","1","Diablo III"
"7","Wednesday 24th July 2019 17:30","https://sullygnome.com/channel/prepayed/stream/35027735712","240","480","2","3","0","0","8","1","Teamfight Tactics"
"8","Wednesday 24th July 2019 01:15","https://sullygnome.com/channel/prepayed/stream/35020513088","150","300","2","3","0","0","4","1","Overwatch"
"9","Tuesday 23rd July 2019 17:00","https://sullygnome.com/channel/prepayed/stream/35015115632","240","480","2","4","0","0","7","1","Teamfight Tactics"
"10","Thursday 18th July 2019 18:00","https://sullygnome.com/channel/prepayed/stream/34953030736","90","180","2","3","0","0","7","4","Teamfight Tactics"
"11","Wednesday 17th July 2019 14:42","https://sullygnome.com/channel/prepayed/stream/34938466704","78","234","3","4","0","0","7","4","Overwatch"
"12","Wednesday 17th July 2019 01:00","https://sullygnome.com/channel/prepayed/stream/34932565072","75","225","3","3","0","0","6","4","Overwatch"
"13","Tuesday 16th July 2019 00:25","https://sullygnome.com/channel/prepayed/stream/34919745504","215","645","3","7","3","0","10","2","Overwatch"
"14","Monday 15th July 2019 18:15","https://sullygnome.com/channel/prepayed/stream/34915536192","150","300","2","3","0","0","9","3","Teamfight Tactics"
"15","Saturday 13th July 2019 17:30","https://sullygnome.com/channel/prepayed/stream/34890346880","30","60","2","2","0","0","2","2","Overwatch"
"16","Saturday 13th July 2019 13:00","https://sullygnome.com/channel/prepayed/stream/34888014048","75","150","2","3","0","0","2","1","Overwatch"
"17","Friday 12th July 2019 04:00","https://sullygnome.com/channel/prepayed/stream/34872225248","120","240","2","4","0","0","3","1","Overwatch"
"18","Thursday 11th July 2019 22:00","https://sullygnome.com/channel/prepayed/stream/34868414448","255","510","2","4","0","0","3","0","Overwatch"
"19","Wednesday 10th July 2019 20:30","https://sullygnome.com/channel/prepayed/stream/34855052688","255","510","2","3","2","0","4","0","Overwatch"
"20","Wednesday 10th July 2019 01:00","https://sullygnome.com/channel/prepayed/stream/34845460992","75","150","2","3","0","0","3","2","Overwatch"
"21","Tuesday 9th July 2019 15:45","https://sullygnome.com/channel/prepayed/stream/34839211392","345","1035","3","6","-1","0","11","1","Teamfight Tactics"
"22","Monday 8th July 2019 21:45","https://sullygnome.com/channel/prepayed/stream/34830952848","465","930","2","5","0","0","11","1","Overwatch"
"23","Sunday 7th July 2019 04:45","https://sullygnome.com/channel/prepayed/stream/34810145568","165","495","3","5","1","0","8","2","Overwatch"
"24","Saturday 6th July 2019 19:30","https://sullygnome.com/channel/prepayed/stream/34804516832","150","450","3","4","1","0","7","2","Overwatch"
"25","Saturday 6th July 2019 00:30","https://sullygnome.com/channel/prepayed/stream/34795036512","75","150","2","2","0","0","7","4","Overwatch"
"26","Thursday 4th July 2019 07:30","https://sullygnome.com/channel/prepayed/stream/34774571680","180","180","1","4","-1","0","3","0","Overwatch"
"27","Thursday 4th July 2019 00:15","https://sullygnome.com/channel/prepayed/stream/34771170448","45","45","1","3","0","0","4","4","Overwatch"
"28","Wednesday 3rd July 2019 18:30","https://sullygnome.com/channel/prepayed/stream/34767333104","180","360","2","4","0","0","14","4","Overwatch"
"29","Wednesday 3rd July 2019 00:45","https://sullygnome.com/channel/prepayed/stream/34758945568","60","120","2","2","1","0","3","2","Overwatch"
"30","Tuesday 2nd July 2019 20:30","https://sullygnome.com/channel/prepayed/stream/34756113648","210","210","1","3","0","0","17","4","Teamfight Tactics,Overwatch"
"31","Tuesday 2nd July 2019 00:00","https://sullygnome.com/channel/prepayed/stream/34745872480","120","240","2","3","0","0","3","1","League of Legends"
"32","Monday 1st July 2019 19:15","https://sullygnome.com/channel/prepayed/stream/34742861648","210","630","3","5","1","0","6","1","Overwatch"
