"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 15:00","https://sullygnome.com/channel/prostogospoja/stream/35074130320","165","165","1","3","0","0","15","5","Counter-Strike: Global Offensive"
"2","Wednesday 24th July 2019 22:06","https://sullygnome.com/channel/prostogospoja/stream/35030874768","414","1242","3","8","7","1","50","7","Counter-Strike: Global Offensive,Dota 2"
"3","Tuesday 23rd July 2019 22:14","https://sullygnome.com/channel/prostogospoja/stream/35018733136","151","1510","10","16","3","1","345","138","Counter-Strike: Global Offensive,Dota 2"
"4","Saturday 20th July 2019 14:47","https://sullygnome.com/channel/prostogospoja/stream/34976355664","163","1793","11","19","4","1","383","139","Counter-Strike: Global Offensive"
"5","Friday 19th July 2019 15:25","https://sullygnome.com/channel/prostogospoja/stream/34963880176","65","585","9","12","0","0","162","129","Counter-Strike: Global Offensive"
"6","Tuesday 16th July 2019 21:12","https://sullygnome.com/channel/prostogospoja/stream/34930188080","243","2916","12","19","5","1","484","113","Counter-Strike: Global Offensive,Dota 2"
"7","Tuesday 16th July 2019 19:59","https://sullygnome.com/channel/prostogospoja/stream/34929340480","46","506","11","13","0","0","96","96","Counter-Strike: Global Offensive"
"8","Monday 15th July 2019 20:27","https://sullygnome.com/channel/prostogospoja/stream/34916634032","318","1590","5","22","5","0","249","39","Counter-Strike: Global Offensive"
"9","Saturday 13th July 2019 18:15","https://sullygnome.com/channel/prostogospoja/stream/34891081792","105","1365","13","18","5","2","237","118","Counter-Strike: Global Offensive"
"10","Friday 12th July 2019 15:51","https://sullygnome.com/channel/prostogospoja/stream/34876872000","159","2067","13","18","0","0","310","124","Counter-Strike: Global Offensive"
"11","Sunday 7th July 2019 20:00","https://sullygnome.com/channel/prostogospoja/stream/34817599328","210","2730","13","20","1","0","386","110","Counter-Strike: Global Offensive"
"12","Friday 5th July 2019 20:45","https://sullygnome.com/channel/prostogospoja/stream/34792537360","60","660","11","18","2","1","242","193","Counter-Strike: Global Offensive"
