"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","3555","55290","15","35","2477","41.805907"
"2","Overwatch","1650","25185","14","24","1016","36.945454"
"3","Black Mesa","795","12945","15","30","491","37.056603"
"4","Dead by Daylight","750","11400","13","20","498","39.84"
"5","Dark Souls","330","5655","17","25","270","49.090909"
"6","Jackbox Party Packs","300","5820","19","29","239","47.8"
"7","Overcooked! 2","135","1410","10","15","68","30.222222"
"8","Gray Dawn","60","885","14","17","14","14"
"9","Half-Life","45","615","13","15","27","36"
"10","Teamfight Tactics","30","330","11","12","0","0"
