"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:04","https://sullygnome.com/channel/qttoo/stream/35111300640","446","7136","16","20","8","1","275","36","Dead by Daylight,Tom Clancy's Rainbow Six Siege"
"2","Tuesday 30th July 2019 14:15","https://sullygnome.com/channel/qttoo/stream/35098047168","285","4560","16","30","7","1","190","38","Black Mesa"
"3","Sunday 28th July 2019 13:59","https://sullygnome.com/channel/qttoo/stream/35073791600","316","3792","12","18","10","1","179","32","Tom Clancy's Rainbow Six Siege,Overwatch"
"4","Saturday 27th July 2019 14:12","https://sullygnome.com/channel/qttoo/stream/35062102656","213","3408","16","21","3","0","146","38","Dark Souls,Tom Clancy's Rainbow Six Siege"
"5","Friday 26th July 2019 15:03","https://sullygnome.com/channel/qttoo/stream/35050577584","222","3552","16","25","5","1","162","40","Dark Souls"
"6","Wednesday 24th July 2019 14:07","https://sullygnome.com/channel/qttoo/stream/35025838800","368","6624","18","24","11","1","254","40","Overwatch,Tom Clancy's Rainbow Six Siege"
"7","Tuesday 23rd July 2019 14:05","https://sullygnome.com/channel/qttoo/stream/35013544672","445","6230","14","21","11","1","222","29","Black Mesa,Tom Clancy's Rainbow Six Siege"
"8","Sunday 21st July 2019 14:04","https://sullygnome.com/channel/qttoo/stream/34989289344","461","9681","21","35","13","1","344","44","Jackbox Party Packs,Tom Clancy's Rainbow Six Siege"
"9","Saturday 20th July 2019 19:50","https://sullygnome.com/channel/qttoo/stream/34980536448","115","1495","13","22","3","1","68","34","Tom Clancy's Rainbow Six Siege"
"10","Saturday 20th July 2019 12:51","https://sullygnome.com/channel/qttoo/stream/34975341504","234","2574","11","14","1","0","122","30","Black Mesa,Overwatch"
"11","Friday 19th July 2019 12:50","https://sullygnome.com/channel/qttoo/stream/34962582736","400","6800","17","28","9","1","231","35","Dead by Daylight,Tom Clancy's Rainbow Six Siege"
"12","Thursday 18th July 2019 12:59","https://sullygnome.com/channel/qttoo/stream/34950246656","376","6016","16","27","5","0","226","34","Black Mesa,Tom Clancy's Rainbow Six Siege,Overcooked! 2"
"13","Wednesday 17th July 2019 12:47","https://sullygnome.com/channel/qttoo/stream/34937547504","358","5370","15","24","8","1","217","36","Overwatch,Tom Clancy's Rainbow Six Siege"
"14","Sunday 14th July 2019 13:58","https://sullygnome.com/channel/qttoo/stream/34900980160","587","9392","16","27","13","1","307","32","Black Mesa,Tom Clancy's Rainbow Six Siege"
"15","Saturday 13th July 2019 13:27","https://sullygnome.com/channel/qttoo/stream/34888291568","123","1476","12","15","3","1","50","22","Dead by Daylight,Overwatch"
"16","Friday 12th July 2019 12:52","https://sullygnome.com/channel/qttoo/stream/34875368912","233","3495","15","22","13","3","159","39","Overwatch,Tom Clancy's Rainbow Six Siege"
"17","Thursday 11th July 2019 13:24","https://sullygnome.com/channel/qttoo/stream/34863130512","321","4494","14","19","1","0","132","24","Overwatch,Gray Dawn"
"18","Wednesday 10th July 2019 13:23","https://sullygnome.com/channel/qttoo/stream/34850646768","592","8288","14","21","12","1","262","26","Dead by Daylight,Tom Clancy's Rainbow Six Siege"
"19","Tuesday 9th July 2019 19:26","https://sullygnome.com/channel/qttoo/stream/34841838656","304","3344","11","15","9","1","140","26","Tom Clancy's Rainbow Six Siege"
"20","Tuesday 9th July 2019 13:26","https://sullygnome.com/channel/qttoo/stream/34838087616","289","3468","12","18","6","1","109","21","Overwatch,Dead by Daylight"
"21","Sunday 7th July 2019 15:45","https://sullygnome.com/channel/qttoo/stream/34814552480","0","0","10","14","1","4","45","180","Tom Clancy's Rainbow Six Siege"
"22","Sunday 7th July 2019 13:30","https://sullygnome.com/channel/qttoo/stream/34813429376","105","945","9","16","14","7","89","44","Tom Clancy's Rainbow Six Siege"
"23","Saturday 6th July 2019 12:51","https://sullygnome.com/channel/qttoo/stream/34800632928","429","3861","9","17","0","0","142","21","Teamfight Tactics,Overcooked! 2,Tom Clancy's Rainbow Six Siege"
"24","Friday 5th July 2019 12:55","https://sullygnome.com/channel/qttoo/stream/34788057040","290","4640","16","23","6","1","132","26","Overwatch"
"25","Thursday 4th July 2019 12:51","https://sullygnome.com/channel/qttoo/stream/34776563488","369","5166","14","19","7","1","151","24","Half-Life,Dead by Daylight,Tom Clancy's Rainbow Six Siege"
"26","Wednesday 3rd July 2019 12:50","https://sullygnome.com/channel/qttoo/stream/34764007120","385","5775","15","23","14","2","162","24","Overwatch,Tom Clancy's Rainbow Six Siege"
"27","Tuesday 2nd July 2019 12:45","https://sullygnome.com/channel/qttoo/stream/34751293872","165","2475","15","22","4","1","83","30","Tom Clancy's Rainbow Six Siege"
