"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 26th July 2019 05:15","https://sullygnome.com/channel/romantic_battery/stream/35047029248","180","900","5","20","0","0","24","7","World of Tanks"
"2","Tuesday 23rd July 2019 05:45","https://sullygnome.com/channel/romantic_battery/stream/35010595648","300","1500","5","16","1","0","48","9","World of Tanks"
"3","Monday 22nd July 2019 13:15","https://sullygnome.com/channel/romantic_battery/stream/35000645584","120","360","3","4","0","0","18","8","World of Tanks"
"4","Sunday 21st July 2019 05:45","https://sullygnome.com/channel/romantic_battery/stream/34986229664","450","1800","4","11","1","0","70","9","World of Tanks"
"5","Friday 19th July 2019 16:30","https://sullygnome.com/channel/romantic_battery/stream/34964435776","405","810","2","6","1","0","33","4","World of Tanks"
"6","Friday 19th July 2019 07:30","https://sullygnome.com/channel/romantic_battery/stream/34960745360","270","540","2","6","0","0","24","5","World of Tanks"
"7","Wednesday 17th July 2019 10:10","https://sullygnome.com/channel/romantic_battery/stream/34936567616","185","555","3","6","0","0","11","3","World of Tanks"
"8","Tuesday 16th July 2019 05:00","https://sullygnome.com/channel/romantic_battery/stream/34922246944","315","630","2","7","0","0","35","6","World of Tanks"
"9","Monday 15th July 2019 17:00","https://sullygnome.com/channel/romantic_battery/stream/34914714688","105","315","3","6","0","0","14","7","World of Tanks"
"10","Sunday 14th July 2019 06:15","https://sullygnome.com/channel/romantic_battery/stream/34898015904","210","1050","5","10","0","0","44","11","World of Tanks"
"11","Friday 12th July 2019 04:53","https://sullygnome.com/channel/romantic_battery/stream/34872667632","97","776","8","15","0","0","21","14","World of Tanks"
"12","Thursday 11th July 2019 17:32","https://sullygnome.com/channel/romantic_battery/stream/34865431280","118","826","7","11","0","0","26","11","World of Tanks"
"13","Thursday 11th July 2019 03:38","https://sullygnome.com/channel/romantic_battery/stream/34859655824","217","868","4","7","0","0","26","6","World of Tanks"
"14","Wednesday 10th July 2019 08:00","https://sullygnome.com/channel/romantic_battery/stream/34848769984","105","525","5","8","0","0","29","14","World of Tanks"
"15","Tuesday 9th July 2019 04:53","https://sullygnome.com/channel/romantic_battery/stream/34835153824","187","1122","6","14","1","0","28","8","World of Tanks"
"16","Monday 8th July 2019 06:36","https://sullygnome.com/channel/romantic_battery/stream/34823284864","204","1428","7","14","0","0","34","9","World of Tanks"
"17","Saturday 6th July 2019 11:00","https://sullygnome.com/channel/romantic_battery/stream/34800088368","105","945","9","15","0","0","21","10","World of Tanks"
"18","Saturday 6th July 2019 10:15","https://sullygnome.com/channel/romantic_battery/stream/34799760704","15","30","2","2","0","0","0","0","World of Tanks"
"19","Friday 5th July 2019 08:29","https://sullygnome.com/channel/romantic_battery/stream/34786511840","391","5083","13","26","2","0","135","20","World of Tanks"
"20","Friday 5th July 2019 04:34","https://sullygnome.com/channel/romantic_battery/stream/34785221104","101","404","4","6","-1","0","12","6","World of Tanks"
"21","Thursday 4th July 2019 04:37","https://sullygnome.com/channel/romantic_battery/stream/34773675808","233","932","4","10","0","0","47","11","World of Tanks"
"22","Wednesday 3rd July 2019 04:41","https://sullygnome.com/channel/romantic_battery/stream/34761228720","289","1734","6","11","0","0","54","10","World of Tanks"
"23","Tuesday 2nd July 2019 05:18","https://sullygnome.com/channel/romantic_battery/stream/34748872224","162","972","6","11","0","0","45","15","World of Tanks"
"24","Monday 1st July 2019 05:30","https://sullygnome.com/channel/romantic_battery/stream/34736813024","240","960","4","9","1","0","41","9","World of Tanks"
