"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:03","https://sullygnome.com/channel/smarttvgaming/stream/35112981232","252","2772","11","15","2","0","70","16","The Last of Us"
"2","Wednesday 24th July 2019 17:15","https://sullygnome.com/channel/smarttvgaming/stream/35027452704","165","990","6","9","0","0","28","9","Bloodborne"
"3","Tuesday 23rd July 2019 17:05","https://sullygnome.com/channel/smarttvgaming/stream/35015193568","235","1410","6","10","0","0","30","7","Bloodborne"
"4","Monday 22nd July 2019 17:30","https://sullygnome.com/channel/smarttvgaming/stream/35002858080","195","780","4","8","-1","0","30","8","Bloodborne"
"5","Sunday 21st July 2019 18:13","https://sullygnome.com/channel/smarttvgaming/stream/34991760464","212","1696","8","12","0","0","38","10","Bloodborne"
"6","Friday 19th July 2019 17:42","https://sullygnome.com/channel/smarttvgaming/stream/34965274400","243","1701","7","10","-1","0","30","7","Bloodborne"
"7","Wednesday 17th July 2019 18:45","https://sullygnome.com/channel/smarttvgaming/stream/34940873248","90","630","7","15","1","0","22","12","Bloodborne"
"8","Wednesday 17th July 2019 17:15","https://sullygnome.com/channel/smarttvgaming/stream/34939866448","60","360","6","15","0","0","13","10","Bloodborne"
"9","Tuesday 16th July 2019 17:15","https://sullygnome.com/channel/smarttvgaming/stream/34927288560","165","1155","7","11","1","0","22","7","Bloodborne"
"10","Monday 15th July 2019 19:10","https://sullygnome.com/channel/smarttvgaming/stream/34915108432","110","770","7","11","0","0","49","14","Bloodborne"
"11","Friday 12th July 2019 17:02","https://sullygnome.com/channel/smarttvgaming/stream/34877584736","253","2277","9","13","0","0","39","9","Bloodborne,Dauntless"
"12","Wednesday 10th July 2019 16:01","https://sullygnome.com/channel/smarttvgaming/stream/34852004336","284","3408","12","19","4","0","75","15","Bloodborne,Dauntless"
"13","Tuesday 9th July 2019 17:00","https://sullygnome.com/channel/smarttvgaming/stream/34839910416","270","2430","9","15","2","0","40","8","Bloodborne,Dauntless"
"14","Sunday 7th July 2019 15:37","https://sullygnome.com/channel/smarttvgaming/stream/34814610512","338","3042","9","16","2","0","63","10","The Elder Scrolls IV: Oblivion,Dauntless,The Jackbox Party Pack,Just Chatting"
"15","Friday 5th July 2019 17:34","https://sullygnome.com/channel/smarttvgaming/stream/34790550816","281","2810","10","16","5","1","54","11","The Elder Scrolls IV: Oblivion,Dauntless"
"16","Thursday 4th July 2019 18:04","https://sullygnome.com/channel/smarttvgaming/stream/34779473584","296","2368","8","14","3","0","44","9","Dauntless"
"17","Tuesday 2nd July 2019 18:52","https://sullygnome.com/channel/smarttvgaming/stream/34754486656","158","1106","7","10","0","0","41","11","The Elder Scrolls IV: Oblivion"
"18","Monday 1st July 2019 18:07","https://sullygnome.com/channel/smarttvgaming/stream/34742080288","158","1580","10","16","1","0","35","12","The Elder Scrolls IV: Oblivion"
