"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:38","https://sullygnome.com/channel/seyanaakane/stream/35111577152","262","5502","21","28","1","0","117","26","Teamfight Tactics,League of Legends"
"2","Monday 29th July 2019 13:58","https://sullygnome.com/channel/seyanaakane/stream/35085434528","152","3496","23","29","1","0","115","41","League of Legends"
"3","Sunday 28th July 2019 14:02","https://sullygnome.com/channel/seyanaakane/stream/35073813216","298","10430","35","45","2","0","202","38","League of Legends"
"4","Saturday 27th July 2019 05:23","https://sullygnome.com/channel/seyanaakane/stream/35058969904","412","11124","27","37","0","0","266","39","League of Legends,Teamfight Tactics"
"5","Thursday 25th July 2019 13:46","https://sullygnome.com/channel/seyanaakane/stream/35037902144","59","1062","18","23","0","0","41","41","League of Legends"
"6","Wednesday 24th July 2019 14:55","https://sullygnome.com/channel/seyanaakane/stream/35026225824","215","6020","28","38","1","0","113","32","Teamfight Tactics,League of Legends"
"7","Wednesday 24th July 2019 14:27","https://sullygnome.com/channel/seyanaakane/stream/35026001424","18","198","11","16","0","0","22","44","Teamfight Tactics"
"8","Tuesday 23rd July 2019 13:31","https://sullygnome.com/channel/seyanaakane/stream/35013278192","329","6909","21","26","3","0","146","26","Teamfight Tactics,League of Legends"
"9","Monday 22nd July 2019 14:42","https://sullygnome.com/channel/seyanaakane/stream/35001157520","303","6666","22","33","1","0","172","29","Teamfight Tactics,League of Legends"
"10","Sunday 21st July 2019 14:07","https://sullygnome.com/channel/seyanaakane/stream/34989313408","278","5560","20","29","0","0","110","23","Teamfight Tactics,League of Legends"
"11","Saturday 20th July 2019 12:09","https://sullygnome.com/channel/seyanaakane/stream/34975029328","456","14136","31","43","2","0","222","28","Teamfight Tactics,League of Legends"
"12","Friday 19th July 2019 14:34","https://sullygnome.com/channel/seyanaakane/stream/34963419664","386","13510","35","44","1","0","265","40","League of Legends"
"13","Thursday 18th July 2019 11:12","https://sullygnome.com/channel/seyanaakane/stream/34949538656","408","11016","27","42","4","0","232","33","Little Witch Academia: Chamber of Time,Teamfight Tactics,League of Legends"
"14","Wednesday 17th July 2019 14:05","https://sullygnome.com/channel/seyanaakane/stream/34938156384","400","12800","32","58","4","0","312","46","Teamfight Tactics,DARK SOULS III,League of Legends"
"15","Tuesday 16th July 2019 12:24","https://sullygnome.com/channel/seyanaakane/stream/34924742032","291","6402","22","35","0","0","142","28","Yakuza 0,Little Witch Academia: Chamber of Time"
"16","Tuesday 16th July 2019 08:45","https://sullygnome.com/channel/seyanaakane/stream/34923443456","30","390","13","18","0","0","29","38","Yakuza 0"
"17","Monday 15th July 2019 13:45","https://sullygnome.com/channel/seyanaakane/stream/34912924480","345","8970","26","34","1","0","182","30","Yakuza 0,League of Legends"
"18","Sunday 14th July 2019 13:51","https://sullygnome.com/channel/seyanaakane/stream/34900915888","234","6084","26","37","3","0","103","25","Yakuza 0"
"19","Saturday 13th July 2019 14:12","https://sullygnome.com/channel/seyanaakane/stream/34888671696","288","9216","32","42","5","1","208","43","League of Legends"
"20","Friday 12th July 2019 11:30","https://sullygnome.com/channel/seyanaakane/stream/34874817072","210","5880","28","38","1","0","167","44","League of Legends"
"21","Thursday 11th July 2019 13:34","https://sullygnome.com/channel/seyanaakane/stream/34863205888","401","8020","20","30","5","0","173","25","Yakuza 0,League of Legends"
"22","Wednesday 10th July 2019 14:03","https://sullygnome.com/channel/seyanaakane/stream/34850958736","372","8928","24","34","2","0","209","33","League of Legends"
"23","Tuesday 9th July 2019 10:36","https://sullygnome.com/channel/seyanaakane/stream/34836937824","264","5016","19","32","0","0","141","31","League of Legends,Yakuza 0"
"24","Monday 8th July 2019 13:31","https://sullygnome.com/channel/seyanaakane/stream/34825669104","284","6248","22","33","1","0","167","33","League of Legends,Teamfight Tactics"
"25","Sunday 7th July 2019 13:34","https://sullygnome.com/channel/seyanaakane/stream/34813538624","176","2640","15","20","0","0","97","32","Teamfight Tactics,League of Legends"
"26","Saturday 6th July 2019 07:24","https://sullygnome.com/channel/seyanaakane/stream/34798623648","351","9126","26","33","3","0","231","38","Teamfight Tactics,League of Legends"
"27","Friday 5th July 2019 06:26","https://sullygnome.com/channel/seyanaakane/stream/34785894032","439","10536","24","39","0","0","294","39","Yakuza 0,League of Legends"
"28","Thursday 4th July 2019 13:29","https://sullygnome.com/channel/seyanaakane/stream/34776850400","511","10731","21","33","2","0","182","20","Yakuza 0"
"29","Wednesday 3rd July 2019 13:57","https://sullygnome.com/channel/seyanaakane/stream/34764530016","408","10200","25","38","0","0","260","37","League of Legends"
"30","Tuesday 2nd July 2019 05:27","https://sullygnome.com/channel/seyanaakane/stream/34748924096","708","16992","24","34","8","0","433","36","Teamfight Tactics,League of Legends,Yakuza 0"
"31","Monday 1st July 2019 14:24","https://sullygnome.com/channel/seyanaakane/stream/34739837600","336","11424","34","48","2","0","247","42","League of Legends"
