"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 03:35","https://sullygnome.com/channel/shredberg/stream/35107102752","100","1300","13","17","2","1","11","6","Super Meat Boy"
"2","Tuesday 30th July 2019 02:49","https://sullygnome.com/channel/shredberg/stream/35093749680","191","2292","12","16","0","0","26","8","Super Meat Boy"
"3","Sunday 28th July 2019 02:53","https://sullygnome.com/channel/shredberg/stream/35069468384","172","1720","10","15","1","0","20","6","Super Meat Boy"
"4","Friday 26th July 2019 02:08","https://sullygnome.com/channel/shredberg/stream/35045507808","232","3480","15","24","0","0","33","8","Super Meat Boy"
"5","Thursday 25th July 2019 02:52","https://sullygnome.com/channel/shredberg/stream/35033884896","143","1573","11","15","0","0","25","10","Super Meat Boy"
"6","Tuesday 23rd July 2019 02:34","https://sullygnome.com/channel/shredberg/stream/35009096464","191","1719","9","15","2","0","28","8","Super Meat Boy"
"7","Thursday 18th July 2019 02:31","https://sullygnome.com/channel/shredberg/stream/34946296592","194","2134","11","16","1","0","24","7","Super Meat Boy"
"8","Sunday 14th July 2019 20:44","https://sullygnome.com/channel/shredberg/stream/34905375536","256","2048","8","15","0","0","24","5","Super Meat Boy"
"9","Saturday 13th July 2019 21:06","https://sullygnome.com/channel/shredberg/stream/34893119440","174","1914","11","16","2","0","18","6","Super Meat Boy"
"10","Saturday 13th July 2019 02:33","https://sullygnome.com/channel/shredberg/stream/34883860880","237","1659","7","10","0","0","14","3","Super Meat Boy"
"11","Friday 12th July 2019 02:41","https://sullygnome.com/channel/shredberg/stream/34871553904","199","1393","7","12","0","0","16","4","Super Meat Boy"
"12","Thursday 11th July 2019 03:22","https://sullygnome.com/channel/shredberg/stream/34859517152","218","1308","6","11","1","0","23","6","Super Meat Boy,Super Mario Maker 2"
"13","Wednesday 10th July 2019 01:30","https://sullygnome.com/channel/shredberg/stream/34845830576","90","450","5","7","0","0","10","5","Super Meat Boy"
"14","Sunday 7th July 2019 03:07","https://sullygnome.com/channel/shredberg/stream/34809331440","443","4430","10","15","2","0","76","10","Super Meat Boy"
"15","Saturday 6th July 2019 03:00","https://sullygnome.com/channel/shredberg/stream/34796697616","195","1560","8","14","1","0","10","3","Super Meat Boy"
"16","Thursday 4th July 2019 02:58","https://sullygnome.com/channel/shredberg/stream/34772821888","137","959","7","10","0","0","12","4","Super Meat Boy"
"17","Tuesday 2nd July 2019 03:30","https://sullygnome.com/channel/shredberg/stream/34748097856","180","1440","8","14","1","0","21","6","Super Meat Boy"
