"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 22:18","https://sullygnome.com/channel/shy3q/stream/35090831360","132","3036","23","35","7","2","119","47","League of Legends"
"2","Friday 26th July 2019 23:25","https://sullygnome.com/channel/shy3q/stream/35055689296","170","5610","33","127","14","4","175","58","League of Legends"
"3","Friday 26th July 2019 17:28","https://sullygnome.com/channel/shy3q/stream/35051921008","182","3640","20","27","2","0","146","44","League of Legends"
"4","Thursday 25th July 2019 22:51","https://sullygnome.com/channel/shy3q/stream/35043429712","114","2736","24","30","1","0","117","58","League of Legends"
"5","Monday 22nd July 2019 23:22","https://sullygnome.com/channel/shy3q/stream/35007043744","218","6540","30","42","8","2","256","68","League of Legends"
"6","Sunday 21st July 2019 15:52","https://sullygnome.com/channel/shy3q/stream/34990233248","353","7060","20","28","16","2","366","61","League of Legends"
"7","Saturday 20th July 2019 01:01","https://sullygnome.com/channel/shy3q/stream/34970178208","104","1976","19","24","2","1","93","53","League of Legends"
"8","Thursday 18th July 2019 02:01","https://sullygnome.com/channel/shy3q/stream/34945975136","74","2442","33","36","8","6","87","69","League of Legends"
"9","Wednesday 17th July 2019 23:42","https://sullygnome.com/channel/shy3q/stream/34944436640","123","11562","94","211","15","6","276","122","League of Legends"
"10","Tuesday 16th July 2019 02:11","https://sullygnome.com/channel/shy3q/stream/34920879392","139","2502","18","34","1","0","117","46","League of Legends"
"11","Sunday 14th July 2019 16:00","https://sullygnome.com/channel/shy3q/stream/34902086256","510","17340","34","54","57","6","771","90","League of Legends"
"12","Saturday 13th July 2019 23:45","https://sullygnome.com/channel/shy3q/stream/34894687744","165","5280","32","81","17","5","354","118","League of Legends"
"13","Friday 12th July 2019 22:48","https://sullygnome.com/channel/shy3q/stream/34881535840","147","3969","27","38","5","2","182","72","League of Legends"
"14","Wednesday 10th July 2019 23:04","https://sullygnome.com/channel/shy3q/stream/34856810448","161","3864","24","33","6","2","169","61","League of Legends"
"15","Wednesday 10th July 2019 11:20","https://sullygnome.com/channel/shy3q/stream/34849801600","40","360","9","11","1","1","18","24","League of Legends"
"16","Wednesday 10th July 2019 01:27","https://sullygnome.com/channel/shy3q/stream/34845838208","153","2601","17","25","9","3","139","50","League of Legends"
"17","Tuesday 9th July 2019 23:46","https://sullygnome.com/channel/shy3q/stream/34844706768","29","435","15","18","-1","-2","0","0","League of Legends"
"18","Monday 8th July 2019 00:24","https://sullygnome.com/channel/shy3q/stream/34820350512","51","1224","24","28","2","2","39","52","League of Legends"
"19","Sunday 7th July 2019 15:43","https://sullygnome.com/channel/shy3q/stream/34814671456","122","5002","41","47","15","7","188","94","League of Legends"
"20","Sunday 7th July 2019 02:58","https://sullygnome.com/channel/shy3q/stream/34809241360","32","736","23","29","1","1","74","98","League of Legends"
"21","Sunday 7th July 2019 00:45","https://sullygnome.com/channel/shy3q/stream/34807990384","105","2415","23","36","7","3","105","52","League of Legends"
"22","Saturday 6th July 2019 13:45","https://sullygnome.com/channel/shy3q/stream/34801078608","315","8505","27","35","25","5","281","56","League of Legends"
"23","Saturday 6th July 2019 01:39","https://sullygnome.com/channel/shy3q/stream/34795887344","81","1863","23","29","6","4","53","35","League of Legends"
"24","Friday 5th July 2019 01:15","https://sullygnome.com/channel/shy3q/stream/34783621424","0","0","35","35","0","0","0","0","League of Legends"
"25","Friday 5th July 2019 00:30","https://sullygnome.com/channel/shy3q/stream/34783241408","0","0","28","28","0","0","0","0","League of Legends"
"26","Thursday 4th July 2019 11:28","https://sullygnome.com/channel/shy3q/stream/34776008064","137","2603","19","31","7","3","89","39","League of Legends"
"27","Wednesday 3rd July 2019 22:08","https://sullygnome.com/channel/shy3q/stream/34769879760","172","4988","29","38","8","2","153","51","League of Legends"
"28","Wednesday 3rd July 2019 11:30","https://sullygnome.com/channel/shy3q/stream/34763434144","90","720","8","15","3","1","31","17","League of Legends"
"29","Tuesday 2nd July 2019 11:00","https://sullygnome.com/channel/shy3q/stream/34750611408","150","1350","9","14","5","1","54","19","League of Legends"
"30","Tuesday 2nd July 2019 00:35","https://sullygnome.com/channel/shy3q/stream/34746346480","130","3770","29","37","9","4","144","64","League of Legends"
"31","Monday 1st July 2019 02:33","https://sullygnome.com/channel/shy3q/stream/34735513840","102","1734","17","28","1227","613","79","39","League of Legends"
