"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:43","https://sullygnome.com/channel/soma_sr/stream/35113419152","107","535","5","10","2","1","35","17","Resident Evil 4"
"2","Wednesday 31st July 2019 11:30","https://sullygnome.com/channel/soma_sr/stream/35110123312","45","270","6","12","0","0","12","12","Resident Evil 4"
"3","Tuesday 30th July 2019 18:00","https://sullygnome.com/channel/soma_sr/stream/35100311104","120","840","7","12","0","0","22","9","FINAL FANTASY"
"4","Monday 29th July 2019 15:00","https://sullygnome.com/channel/soma_sr/stream/35085858240","30","150","5","8","0","0","10","13","Lufia II: Rise of the Sinistrals"
"5","Monday 29th July 2019 10:32","https://sullygnome.com/channel/soma_sr/stream/35084037920","118","1888","16","23","0","0","36","16","FINAL FANTASY IX,FINAL FANTASY"
"6","Sunday 28th July 2019 13:00","https://sullygnome.com/channel/soma_sr/stream/35073358864","90","720","8","15","0","0","24","13","FINAL FANTASY"
"7","Saturday 27th July 2019 19:15","https://sullygnome.com/channel/soma_sr/stream/35064726864","90","270","3","6","0","0","9","5","FINAL FANTASY"
"8","Friday 26th July 2019 17:28","https://sullygnome.com/channel/soma_sr/stream/35051920576","107","856","8","14","0","0","20","11","FINAL FANTASY"
"9","Thursday 25th July 2019 18:30","https://sullygnome.com/channel/soma_sr/stream/35040338448","75","600","8","11","0","0","13","8","FINAL FANTASY"
"10","Wednesday 24th July 2019 18:15","https://sullygnome.com/channel/soma_sr/stream/35028218480","105","840","8","11","0","0","14","8","FINAL FANTASY"
"11","Tuesday 23rd July 2019 18:18","https://sullygnome.com/channel/soma_sr/stream/35016033968","177","1062","6","10","0","0","21","6","FINAL FANTASY"
"12","Monday 22nd July 2019 17:30","https://sullygnome.com/channel/soma_sr/stream/35003013568","120","1080","9","15","0","0","39","17","FINAL FANTASY IX,Unlisted on Twitch"
"13","Monday 22nd July 2019 13:00","https://sullygnome.com/channel/soma_sr/stream/35000560960","15","75","5","7","0","0","12","24","FINAL FANTASY"
"14","Sunday 21st July 2019 18:53","https://sullygnome.com/channel/soma_sr/stream/34992220688","112","448","4","7","-1","0","12","6","FINAL FANTASY"
"15","Sunday 21st July 2019 18:45","https://sullygnome.com/channel/soma_sr/stream/34992140736","0","0","1","1","0","0","0","0","FINAL FANTASY"
"16","Thursday 18th July 2019 20:00","https://sullygnome.com/channel/soma_sr/stream/34954482240","75","450","6","9","0","0","14","11","FINAL FANTASY"
"17","Tuesday 16th July 2019 19:08","https://sullygnome.com/channel/soma_sr/stream/34928721824","127","1016","8","14","1","0","19","8","FINAL FANTASY"
"18","Monday 15th July 2019 14:00","https://sullygnome.com/channel/soma_sr/stream/34913012832","180","1440","8","14","1","0","46","14","Talk Shows &amp; Podcasts,FINAL FANTASY"
"19","Friday 12th July 2019 20:52","https://sullygnome.com/channel/soma_sr/stream/34880314576","98","490","5","8","0","0","15","10","FINAL FANTASY"
"20","Wednesday 10th July 2019 19:45","https://sullygnome.com/channel/soma_sr/stream/34854556592","120","360","3","7","1","0","25","11","FINAL FANTASY"
"21","Tuesday 9th July 2019 20:45","https://sullygnome.com/channel/soma_sr/stream/34842672640","45","135","3","5","0","0","3","3","FINAL FANTASY,Unlisted on Twitch"
"22","Monday 8th July 2019 08:00","https://sullygnome.com/channel/soma_sr/stream/34823637536","45","360","8","11","1","1","14","14","FINAL FANTASY"
"23","Sunday 7th July 2019 14:45","https://sullygnome.com/channel/soma_sr/stream/34813922752","30","60","2","3","-1","-1","6","8","FINAL FANTASY"
"24","Saturday 6th July 2019 19:45","https://sullygnome.com/channel/soma_sr/stream/34804725152","105","1050","10","16","0","0","49","24","FINAL FANTASY"
"25","Friday 5th July 2019 18:38","https://sullygnome.com/channel/soma_sr/stream/34791279344","82","574","7","13","0","0","26","17","FINAL FANTASY,FINAL FANTASY VII"
"26","Monday 1st July 2019 19:13","https://sullygnome.com/channel/soma_sr/stream/34742893008","107","1819","17","21","2","1","43","21","FINAL FANTASY"
"27","Monday 1st July 2019 15:56","https://sullygnome.com/channel/soma_sr/stream/34740656880","49","343","7","10","0","0","36","36","StepMania"
