"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 13:00","https://sullygnome.com/channel/sonku3/stream/35110689616","270","270","1","4","1","0","23","4","osu!,NieR: Automata"
"2","Tuesday 30th July 2019 16:30","https://sullygnome.com/channel/sonku3/stream/35099221136","135","270","2","4","0","0","23","9","Just Chatting,Minecraft,osu!"
"3","Tuesday 30th July 2019 06:00","https://sullygnome.com/channel/sonku3/stream/35095160160","375","0","0","3","2","0","21","3","osu!,Kerbal Space Program,Just Chatting,Metro 2033"
"4","Monday 29th July 2019 15:45","https://sullygnome.com/channel/sonku3/stream/35086267952","0","0","0","0","0","0","0","0","Minecraft"
"5","Monday 29th July 2019 10:15","https://sullygnome.com/channel/sonku3/stream/35083942256","105","0","0","2","0","0","3","1","Overwatch"
"6","Monday 29th July 2019 07:15","https://sullygnome.com/channel/sonku3/stream/35082963504","30","0","0","0","0","0","0","0","Kerbal Space Program"
"7","Sunday 28th July 2019 11:45","https://sullygnome.com/channel/sonku3/stream/35072781280","225","225","1","2","1","0","9","2","Kerbal Space Program,osu!"
"8","Friday 26th July 2019 23:00","https://sullygnome.com/channel/sonku3/stream/35055414048","480","0","0","7","4","0","47","5","Overwatch,Just Chatting,osu!,Pinball,NieR: Automata"
"9","Friday 26th July 2019 19:15","https://sullygnome.com/channel/sonku3/stream/35052923216","150","300","2","4","0","0","35","12","osu!"
"10","Thursday 25th July 2019 18:00","https://sullygnome.com/channel/sonku3/stream/35040278064","450","450","1","4","0","0","34","4","Just Chatting,Overwatch,osu!,Pinball,NieR: Automata"
"11","Thursday 25th July 2019 03:45","https://sullygnome.com/channel/sonku3/stream/35034268784","90","90","1","3","3","1","8","4","ASMR"
"12","Wednesday 24th July 2019 23:00","https://sullygnome.com/channel/sonku3/stream/35031419936","90","90","1","3","0","0","10","5","osu!"
"13","Wednesday 24th July 2019 14:45","https://sullygnome.com/channel/sonku3/stream/35025944640","135","0","0","2","0","0","14","5","osu!,Minecraft"
"14","Tuesday 23rd July 2019 17:00","https://sullygnome.com/channel/sonku3/stream/35015140960","435","435","1","6","4","0","66","8","osu!,Just Chatting,Counter-Strike,Minecraft"
"15","Tuesday 23rd July 2019 14:15","https://sullygnome.com/channel/sonku3/stream/35013586640","75","0","0","1","1","0","1","0","osu!,Apex Legends"
"16","Sunday 21st July 2019 16:15","https://sullygnome.com/channel/sonku3/stream/34990294176","225","225","1","4","0","0","32","8","osu!,Just Chatting,Counter-Strike"
"17","Saturday 20th July 2019 22:45","https://sullygnome.com/channel/sonku3/stream/34982332288","45","180","4","5","0","0","10","10","Unlisted on Twitch"
"18","Saturday 20th July 2019 20:15","https://sullygnome.com/channel/sonku3/stream/34980682976","0","0","3","3","0","0","0","0","Unlisted on Twitch"
"19","Saturday 20th July 2019 17:30","https://sullygnome.com/channel/sonku3/stream/34978181120","30","30","1","2","0","0","3","4","Unlisted on Twitch"
"20","Saturday 20th July 2019 16:15","https://sullygnome.com/channel/sonku3/stream/34977290560","15","15","1","2","0","0","0","0","osu!,Unlisted on Twitch"
"21","Saturday 20th July 2019 14:00","https://sullygnome.com/channel/sonku3/stream/34975957440","30","0","0","1","0","0","4","5","osu!"
"22","Thursday 18th July 2019 18:15","https://sullygnome.com/channel/sonku3/stream/34953147456","270","0","0","2","2","0","44","9","Counter-Strike,Minecraft,osu!"
"23","Thursday 18th July 2019 16:00","https://sullygnome.com/channel/sonku3/stream/34951691904","75","75","1","2","0","0","17","11","osu!,Counter-Strike"
"24","Thursday 18th July 2019 15:30","https://sullygnome.com/channel/sonku3/stream/34951381248","0","0","0","0","0","0","0","0","osu!"
"25","Thursday 18th July 2019 09:15","https://sullygnome.com/channel/sonku3/stream/34948893984","300","300","1","4","8","1","44","8","osu!,Just Chatting"
"26","Wednesday 17th July 2019 17:30","https://sullygnome.com/channel/sonku3/stream/34940088352","0","0","1","1","0","0","0","0","osu!"
"27","Tuesday 16th July 2019 13:45","https://sullygnome.com/channel/sonku3/stream/34924823360","300","300","1","5","3","0","57","10","osu!,NieR: Automata,Food &amp; Drink,Minecraft,A Hat in Time,Just Chatting,Counter-Strike"
"28","Monday 15th July 2019 17:45","https://sullygnome.com/channel/sonku3/stream/34915170560","105","0","0","2","0","0","8","4","Counter-Strike,Food &amp; Drink"
"29","Sunday 14th July 2019 19:45","https://sullygnome.com/channel/sonku3/stream/34904665312","30","30","1","1","0","0","3","4","Counter-Strike"
"30","Sunday 14th July 2019 13:15","https://sullygnome.com/channel/sonku3/stream/34900407536","120","120","1","3","0","0","18","8","Board Games,Just Chatting,A Hat in Time"
"31","Sunday 14th July 2019 12:00","https://sullygnome.com/channel/sonku3/stream/34899796720","45","0","0","2","0","0","6","6","Counter-Strike,Food &amp; Drink"
"32","Saturday 13th July 2019 19:00","https://sullygnome.com/channel/sonku3/stream/34891359760","375","375","1","6","2","0","56","8","Counter-Strike,Just Chatting,Garry's Mod,Board Games"
"33","Saturday 13th July 2019 16:15","https://sullygnome.com/channel/sonku3/stream/34889662320","60","180","3","5","0","0","21","16","Counter-Strike,Just Chatting"
"34","Friday 12th July 2019 16:45","https://sullygnome.com/channel/sonku3/stream/34877425488","60","0","0","2","1","0","6","4","osu!,Minecraft"
"35","Friday 12th July 2019 07:30","https://sullygnome.com/channel/sonku3/stream/34873539136","330","0","0","4","1","0","29","5","Just Chatting,osu!,Counter-Strike"
"36","Thursday 11th July 2019 18:47","https://sullygnome.com/channel/sonku3/stream/34866340032","298","894","3","15","11","2","86","17","Minecraft,osu!"
"37","Thursday 11th July 2019 13:15","https://sullygnome.com/channel/sonku3/stream/34863072896","0","0","0","0","0","0","0","0","Counter-Strike"
"38","Wednesday 10th July 2019 15:00","https://sullygnome.com/channel/sonku3/stream/34851359840","105","210","2","4","1","0","20","10","osu!"
"39","Wednesday 10th July 2019 12:00","https://sullygnome.com/channel/sonku3/stream/34849953376","15","0","0","1","0","0","5","10","osu!"
"40","Wednesday 10th July 2019 05:00","https://sullygnome.com/channel/sonku3/stream/34847785040","150","0","0","2","0","0","3","1","Counter-Strike,Just Chatting,osu!,Minecraft"
"41","Monday 8th July 2019 18:15","https://sullygnome.com/channel/sonku3/stream/34828354240","60","120","2","4","0","0","12","9","osu!,Counter-Strike"
"42","Sunday 7th July 2019 21:15","https://sullygnome.com/channel/sonku3/stream/34818380448","30","30","1","2","0","0","12","16","osu!"
"43","Saturday 6th July 2019 21:30","https://sullygnome.com/channel/sonku3/stream/34805623456","105","210","2","4","1","0","12","6","Counter-Strike,osu!"
"44","Friday 5th July 2019 07:23","https://sullygnome.com/channel/sonku3/stream/34786192128","442","884","2","5","3","0","104","13","osu!,Just Chatting,Counter-Strike"
"45","Wednesday 3rd July 2019 17:15","https://sullygnome.com/channel/sonku3/stream/34766160192","60","0","0","2","0","0","10","8","Minecraft"
"46","Wednesday 3rd July 2019 14:30","https://sullygnome.com/channel/sonku3/stream/34764827984","60","60","1","3","0","0","5","4","Apex Legends"
"47","Tuesday 2nd July 2019 16:09","https://sullygnome.com/channel/sonku3/stream/34753045632","216","648","3","6","0","0","33","9","Minecraft"
"48","Monday 1st July 2019 16:30","https://sullygnome.com/channel/sonku3/stream/34741015808","165","165","1","4","0","0","27","9","osu!,Minecraft"
"49","Monday 1st July 2019 14:45","https://sullygnome.com/channel/sonku3/stream/34739980528","0","0","0","0","0","0","0","0","Minecraft"
