"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 21:00","https://sullygnome.com/channel/sotrudnik7/stream/35089631264","75","300","4","5","0","0","4","2","Fishing Planet"
"2","Sunday 28th July 2019 15:07","https://sullygnome.com/channel/sotrudnik7/stream/35074352848","398","1592","4","8","1","0","43","6","Just Chatting"
"3","Tuesday 23rd July 2019 09:45","https://sullygnome.com/channel/sotrudnik7/stream/35011825008","315","945","3","7","0","0","12","2","Just Chatting"
"4","Monday 22nd July 2019 11:45","https://sullygnome.com/channel/sotrudnik7/stream/35000106832","120","120","1","4","0","0","7","3","Just Chatting"
"5","Sunday 21st July 2019 19:15","https://sullygnome.com/channel/sotrudnik7/stream/34992360464","90","360","4","7","0","0","17","9","Just Chatting"
"6","Sunday 21st July 2019 16:45","https://sullygnome.com/channel/sotrudnik7/stream/34990682000","15","45","3","4","0","0","0","0","Counter-Strike: Global Offensive"
"7","Saturday 20th July 2019 18:55","https://sullygnome.com/channel/sotrudnik7/stream/34979882736","215","860","4","6","1","0","18","4","Just Chatting"
"8","Friday 19th July 2019 23:15","https://sullygnome.com/channel/sotrudnik7/stream/34968989120","75","150","2","4","0","0","4","2","Just Chatting"
"9","Friday 19th July 2019 17:15","https://sullygnome.com/channel/sotrudnik7/stream/34964943952","75","225","3","5","0","0","5","3","War Thunder"
"10","Thursday 18th July 2019 19:00","https://sullygnome.com/channel/sotrudnik7/stream/34953665984","0","0","2","2","0","0","0","0","Counter-Strike: Global Offensive"
"11","Wednesday 17th July 2019 17:00","https://sullygnome.com/channel/sotrudnik7/stream/34939721728","90","180","2","5","0","0","5","2","Just Chatting"
"12","Tuesday 16th July 2019 16:45","https://sullygnome.com/channel/sotrudnik7/stream/34926916848","15","30","2","3","0","0","5","10","War Thunder"
"13","Monday 15th July 2019 18:45","https://sullygnome.com/channel/sotrudnik7/stream/34915894192","210","630","3","5","2","0","14","3","War Thunder,Just Chatting"
"14","Monday 15th July 2019 09:15","https://sullygnome.com/channel/sotrudnik7/stream/34911218224","75","375","5","7","2","1","14","9","War Thunder"
"15","Sunday 14th July 2019 11:45","https://sullygnome.com/channel/sotrudnik7/stream/34899881152","30","120","4","6","0","0","1","1","War Thunder"
"16","Friday 12th July 2019 10:05","https://sullygnome.com/channel/sotrudnik7/stream/34874339968","115","1150","10","14","1","0","50","25","War Thunder"
"17","Monday 8th July 2019 12:59","https://sullygnome.com/channel/sotrudnik7/stream/34825423360","106","424","4","6","2","1","10","5","War Thunder"
"18","Friday 5th July 2019 22:30","https://sullygnome.com/channel/sotrudnik7/stream/34793891136","15","15","1","2","0","0","2","4","Just Chatting"
"19","Wednesday 3rd July 2019 09:45","https://sullygnome.com/channel/sotrudnik7/stream/34762813152","45","135","3","4","1","1","6","6","War Thunder"
"20","Monday 1st July 2019 10:01","https://sullygnome.com/channel/sotrudnik7/stream/34738122288","119","357","3","5","0","0","15","7","War Thunder"
