"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 25th July 2019 13:15","https://sullygnome.com/channel/stereosu/stream/35037609952","120","120","1","2","0","0","5","2","osu!"
"2","Tuesday 23rd July 2019 08:15","https://sullygnome.com/channel/stereosu/stream/35011370624","165","330","2","5","0","0","17","5","osu!"
"3","Friday 19th July 2019 04:47","https://sullygnome.com/channel/stereosu/stream/34959866736","163","326","2","5","0","0","28","9","osu!"
"4","Wednesday 17th July 2019 16:00","https://sullygnome.com/channel/stereosu/stream/34939203712","225","675","3","7","0","0","31","7","osu!"
"5","Monday 15th July 2019 10:15","https://sullygnome.com/channel/stereosu/stream/34911555152","0","0","0","0","0","0","0","0","osu!"
"6","Monday 15th July 2019 06:45","https://sullygnome.com/channel/stereosu/stream/34910513360","30","0","0","1","0","0","3","4","osu!"
"7","Sunday 14th July 2019 13:30","https://sullygnome.com/channel/stereosu/stream/34900734496","135","270","2","5","0","0","19","7","osu!"
"8","Saturday 13th July 2019 12:31","https://sullygnome.com/channel/stereosu/stream/34887861040","74","148","2","5","0","0","12","9","osu!"
"9","Saturday 13th July 2019 09:17","https://sullygnome.com/channel/stereosu/stream/34886663568","43","301","7","7","0","0","0","0","osu!"
"10","Saturday 13th July 2019 02:15","https://sullygnome.com/channel/stereosu/stream/34883412000","150","300","2","5","2","0","23","8","osu!"
"11","Friday 12th July 2019 01:45","https://sullygnome.com/channel/stereosu/stream/34870756864","150","300","2","3","0","0","10","3","osu!"
"12","Thursday 11th July 2019 00:48","https://sullygnome.com/channel/stereosu/stream/34857921520","117","351","3","6","0","0","17","8","osu!"
"13","Wednesday 10th July 2019 02:00","https://sullygnome.com/channel/stereosu/stream/34846158416","285","570","2","5","1","0","17","3","Unlisted on Twitch,osu!"
"14","Saturday 6th July 2019 08:00","https://sullygnome.com/channel/stereosu/stream/34798696400","0","0","0","0","0","0","0","0","Unlisted on Twitch"
"15","Friday 5th July 2019 23:00","https://sullygnome.com/channel/stereosu/stream/34793941680","60","60","1","2","0","0","1","0","osu!"
"16","Thursday 4th July 2019 16:15","https://sullygnome.com/channel/stereosu/stream/34778280256","15","0","0","1","0","0","1","2","osu!"
"17","Wednesday 3rd July 2019 18:00","https://sullygnome.com/channel/stereosu/stream/34766890016","0","0","0","0","0","0","0","0","osu!"
"18","Tuesday 2nd July 2019 07:30","https://sullygnome.com/channel/stereosu/stream/34749560496","150","300","2","5","3","1","22","8","osu!"
"19","Monday 1st July 2019 08:30","https://sullygnome.com/channel/stereosu/stream/34737542144","75","75","1","4","0","0","7","4","osu!"
