"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:14","https://sullygnome.com/channel/supermario93/stream/35115307968","361","2888","8","14","5","0","96","16","Hearthstone,Counter-Strike: Global Offensive"
"2","Tuesday 30th July 2019 20:22","https://sullygnome.com/channel/supermario93/stream/35102207504","368","2576","7","14","6","0","79","12","Counter-Strike: Global Offensive,Grand Theft Auto V,Hearthstone"
"3","Monday 29th July 2019 19:54","https://sullygnome.com/channel/supermario93/stream/35089207280","351","3159","9","15","5","0","66","11","Game of Thrones: Winter is Coming,Grand Theft Auto V"
"4","Sunday 28th July 2019 20:22","https://sullygnome.com/channel/supermario93/stream/35077633104","218","1744","8","12","2","0","68","18","Counter-Strike: Global Offensive,Hearthstone"
"5","Saturday 27th July 2019 22:12","https://sullygnome.com/channel/supermario93/stream/35066835152","213","852","4","6","2","0","53","14","Counter-Strike: Global Offensive"
"6","Friday 26th July 2019 20:03","https://sullygnome.com/channel/supermario93/stream/35053647648","222","1332","6","10","2","0","54","14","Counter-Strike: Global Offensive"
"7","Thursday 25th July 2019 19:59","https://sullygnome.com/channel/supermario93/stream/35041614624","121","726","6","9","-1","0","20","13","Counter-Strike: Global Offensive"
"8","Wednesday 24th July 2019 19:59","https://sullygnome.com/channel/supermario93/stream/35029456672","241","1687","7","11","5","1","43","10","Counter-Strike: Global Offensive,Hearthstone"
"9","Tuesday 23rd July 2019 20:02","https://sullygnome.com/channel/supermario93/stream/35017292496","148","1628","11","14","3","1","52","20","Counter-Strike: Global Offensive"
"10","Monday 22nd July 2019 20:13","https://sullygnome.com/channel/supermario93/stream/35004993536","242","1936","8","13","1","0","71","16","Counter-Strike: Global Offensive,Hearthstone"
"11","Monday 22nd July 2019 02:45","https://sullygnome.com/channel/supermario93/stream/34996980336","30","90","3","4","0","0","7","9","Counter-Strike: Global Offensive"
"12","Monday 22nd July 2019 01:25","https://sullygnome.com/channel/supermario93/stream/34996292960","20","80","4","5","2","4","0","0","Counter-Strike: Global Offensive"
"13","Sunday 21st July 2019 21:26","https://sullygnome.com/channel/supermario93/stream/34992874464","154","2156","14","23","10","2","114","26","Counter-Strike: Global Offensive,Hearthstone"
"14","Tuesday 16th July 2019 22:39","https://sullygnome.com/channel/supermario93/stream/34931133376","231","2772","12","18","8","2","61","15","Counter-Strike: Global Offensive"
"15","Monday 15th July 2019 20:16","https://sullygnome.com/channel/supermario93/stream/34917068672","329","3619","11","17","5","0","78","14","Counter-Strike: Global Offensive"
"16","Sunday 14th July 2019 19:41","https://sullygnome.com/channel/supermario93/stream/34904648000","259","1813","7","10","3","0","54","12","Counter-Strike: Global Offensive,Just Chatting"
"17","Saturday 13th July 2019 19:39","https://sullygnome.com/channel/supermario93/stream/34892094240","201","1809","9","13","6","1","64","18","Counter-Strike: Global Offensive"
"18","Friday 12th July 2019 19:52","https://sullygnome.com/channel/supermario93/stream/34879612800","203","2436","12","18","2","0","62","17","Counter-Strike: Global Offensive"
"19","Thursday 11th July 2019 19:47","https://sullygnome.com/channel/supermario93/stream/34867072672","208","2288","11","18","4","1","50","13","Counter-Strike: Global Offensive"
"20","Wednesday 10th July 2019 19:50","https://sullygnome.com/channel/supermario93/stream/34854651168","235","3055","13","18","6","1","88","22","Counter-Strike: Global Offensive"
"21","Tuesday 9th July 2019 19:56","https://sullygnome.com/channel/supermario93/stream/34842200960","229","2748","12","16","8","2","78","19","Counter-Strike: Global Offensive"
"22","Monday 8th July 2019 19:51","https://sullygnome.com/channel/supermario93/stream/34829653632","234","2340","10","14","4","1","82","20","Counter-Strike: Global Offensive"
"23","Sunday 7th July 2019 19:00","https://sullygnome.com/channel/supermario93/stream/34816858960","390","3900","10","16","6","0","93","14","Counter-Strike: Global Offensive,League of Legends"
"24","Saturday 6th July 2019 22:17","https://sullygnome.com/channel/supermario93/stream/34806531664","178","1424","8","13","2","0","43","14","Counter-Strike: Global Offensive,League of Legends"
"25","Thursday 4th July 2019 19:25","https://sullygnome.com/channel/supermario93/stream/34780449360","290","3770","13","18","12","2","103","21","Counter-Strike: Global Offensive"
"26","Tuesday 2nd July 2019 22:27","https://sullygnome.com/channel/supermario93/stream/34757496736","168","1512","9","14","0","0","48","17","Counter-Strike: Global Offensive"
"27","Monday 1st July 2019 20:10","https://sullygnome.com/channel/supermario93/stream/34743578048","305","3965","13","20","6","1","109","20","Counter-Strike: Global Offensive,League of Legends"
"28","Monday 1st July 2019 00:45","https://sullygnome.com/channel/supermario93/stream/34734484720","60","300","5","17","2","1","25","20","Counter-Strike: Global Offensive"
