"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 16:59","https://sullygnome.com/channel/surny_/stream/35112927168","286","6292","22","31","5","1","214","45","SCP: Secret Laboratory"
"2","Tuesday 30th July 2019 16:59","https://sullygnome.com/channel/surny_/stream/35099720352","376","7144","19","34","12","1","372","59","Counter-Strike: Global Offensive"
"3","Friday 26th July 2019 17:00","https://sullygnome.com/channel/surny_/stream/35051645680","300","14700","49","94","31","5","682","129","Team Fortress 2"
"4","Thursday 25th July 2019 16:59","https://sullygnome.com/channel/surny_/stream/35039569744","301","32809","109","422","51","10","2530","506","SCP: Secret Laboratory"
"5","Wednesday 24th July 2019 16:59","https://sullygnome.com/channel/surny_/stream/35027371584","301","2408","8","13","-2","0","145","29","Iconoclasts"
"6","Sunday 21st July 2019 17:02","https://sullygnome.com/channel/surny_/stream/34990938096","358","4654","13","21","1","0","243","40","Risk of Rain 2,Counter-Strike: Global Offensive"
"7","Friday 19th July 2019 17:00","https://sullygnome.com/channel/surny_/stream/34964801648","315","8190","26","46","10","1","347","66","Team Fortress 2"
"8","Wednesday 17th July 2019 17:10","https://sullygnome.com/channel/surny_/stream/34939921792","350","5950","17","29","4","0","927","154","Iconoclasts"
"9","Tuesday 16th July 2019 17:00","https://sullygnome.com/channel/surny_/stream/34927167120","285","3990","14","22","3","0","146","29","Enter the Gungeon,Risk of Rain 2"
"10","Sunday 14th July 2019 16:59","https://sullygnome.com/channel/surny_/stream/34902708576","271","5420","20","35","-1","0","225","50","Risk of Rain 2,Counter-Strike: Global Offensive"
"11","Friday 12th July 2019 16:59","https://sullygnome.com/channel/surny_/stream/34877553936","331","7613","23","32","13","2","283","49","Team Fortress 2"
"12","Wednesday 10th July 2019 17:00","https://sullygnome.com/channel/surny_/stream/34852594560","255","4845","19","26","10","2","172","38","Minecraft"
"13","Tuesday 9th July 2019 17:00","https://sullygnome.com/channel/surny_/stream/34840050224","300","6300","21","32","5","0","759","144","Enter the Gungeon,Risk of Rain 2"
"14","Sunday 7th July 2019 17:00","https://sullygnome.com/channel/surny_/stream/34815442176","285","7410","26","40","6","1","776","155","Risk of Rain 2,Counter-Strike: Global Offensive"
"15","Friday 5th July 2019 16:59","https://sullygnome.com/channel/surny_/stream/34790166560","361","9025","25","39","13","2","366","61","Team Fortress 2"
"16","Wednesday 3rd July 2019 17:00","https://sullygnome.com/channel/surny_/stream/34766268480","345","3450","10","17","-3","0","130","23","Dead Cells,Risk of Rain 2"
"17","Tuesday 2nd July 2019 17:00","https://sullygnome.com/channel/surny_/stream/34753563072","360","2520","7","12","0","0","160","25","Enter the Gungeon,Apex Legends"
