"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 13:19","https://sullygnome.com/channel/theatlasfamily/stream/35110933056","386","13510","35","49","3","0","155","23","Escape from Tarkov"
"2","Tuesday 30th July 2019 18:31","https://sullygnome.com/channel/theatlasfamily/stream/35100836208","434","17794","41","57","13","1","265","36","Escape from Tarkov"
"3","Monday 29th July 2019 23:35","https://sullygnome.com/channel/theatlasfamily/stream/35091671600","175","4025","23","39","1","0","100","33","Escape from Tarkov"
"4","Sunday 28th July 2019 11:45","https://sullygnome.com/channel/theatlasfamily/stream/35072812544","330","12870","39","60","5","0","163","28","Escape from Tarkov"
"5","Saturday 27th July 2019 11:24","https://sullygnome.com/channel/theatlasfamily/stream/35060897584","351","18954","54","88","25","4","228","39","Escape from Tarkov"
"6","Friday 26th July 2019 14:14","https://sullygnome.com/channel/theatlasfamily/stream/35050174080","346","13148","38","50","5","0","146","26","Escape from Tarkov"
"7","Thursday 25th July 2019 15:33","https://sullygnome.com/channel/theatlasfamily/stream/35038770848","297","6831","23","31","2","0","96","19","Escape from Tarkov"
"8","Wednesday 24th July 2019 21:33","https://sullygnome.com/channel/theatlasfamily/stream/35030518336","147","2940","20","26","-1","0","51","20","Escape from Tarkov"
"9","Wednesday 24th July 2019 17:15","https://sullygnome.com/channel/theatlasfamily/stream/35027309232","0","0","8","8","0","0","0","0","Unlisted on Twitch"
"10","Wednesday 24th July 2019 13:15","https://sullygnome.com/channel/theatlasfamily/stream/35025430848","180","3060","17","32","0","0","87","26","MORDHAU,Escape from Tarkov"
"11","Tuesday 23rd July 2019 12:27","https://sullygnome.com/channel/theatlasfamily/stream/35012811552","378","13986","37","85","11","1","259","39","Escape from Tarkov"
"12","Monday 22nd July 2019 18:53","https://sullygnome.com/channel/theatlasfamily/stream/35003998272","367","9175","25","32","7","1","209","33","Escape from Tarkov"
"13","Sunday 21st July 2019 16:22","https://sullygnome.com/channel/theatlasfamily/stream/34990519952","293","11134","38","51","5","1","195","39","Escape from Tarkov"
"14","Saturday 20th July 2019 20:48","https://sullygnome.com/channel/theatlasfamily/stream/34981235792","72","1512","21","25","0","0","28","28","Unlisted on Twitch"
"15","Friday 19th July 2019 12:39","https://sullygnome.com/channel/theatlasfamily/stream/34962509664","516","19092","37","56","15","1","277","31","Escape from Tarkov"
"16","Thursday 18th July 2019 16:42","https://sullygnome.com/channel/theatlasfamily/stream/34952166288","363","11253","31","45","5","0","158","26","Escape from Tarkov"
"17","Wednesday 17th July 2019 13:16","https://sullygnome.com/channel/theatlasfamily/stream/34937770400","464","15776","34","49","15","1","258","32","Escape from Tarkov"
"18","Tuesday 16th July 2019 17:40","https://sullygnome.com/channel/theatlasfamily/stream/34927624160","365","11315","31","41","7","1","265","42","Escape from Tarkov"
"19","Tuesday 16th July 2019 14:05","https://sullygnome.com/channel/theatlasfamily/stream/34925529968","130","3770","29","38","2","0","66","29","Escape from Tarkov"
"20","Monday 15th July 2019 10:29","https://sullygnome.com/channel/theatlasfamily/stream/34911640848","226","5198","23","36","2","0","75","18","Escape from Tarkov"
"21","Sunday 14th July 2019 14:23","https://sullygnome.com/channel/theatlasfamily/stream/34901197104","367","13212","36","43","6","0","202","32","Escape from Tarkov"
"22","Sunday 14th July 2019 12:56","https://sullygnome.com/channel/theatlasfamily/stream/34900474336","64","1088","17","33","-1","0","68","54","Escape from Tarkov"
"23","Saturday 13th July 2019 12:41","https://sullygnome.com/channel/theatlasfamily/stream/34887929824","379","20087","53","76","26","4","240","36","Escape from Tarkov"
"24","Friday 12th July 2019 20:42","https://sullygnome.com/channel/theatlasfamily/stream/34878775856","273","6825","25","40","6","0","246","37","Escape from Tarkov"
"25","Friday 12th July 2019 13:03","https://sullygnome.com/channel/theatlasfamily/stream/34875462960","192","5184","27","35","2","0","52","17","Escape from Tarkov"
"26","Thursday 11th July 2019 19:30","https://sullygnome.com/channel/theatlasfamily/stream/34866809968","255","5100","20","29","10","2","85","18","Escape from Tarkov"
"27","Thursday 11th July 2019 12:34","https://sullygnome.com/channel/theatlasfamily/stream/34862758032","176","2992","17","23","0","0","39","13","Escape from Tarkov,Dark Deception"
"28","Wednesday 10th July 2019 16:39","https://sullygnome.com/channel/theatlasfamily/stream/34852269696","126","3654","29","36","5","2","151","60","Escape from Tarkov"
"29","Wednesday 10th July 2019 13:07","https://sullygnome.com/channel/theatlasfamily/stream/34850521968","173","4498","26","38","4","1","146","48","Escape from Tarkov"
"30","Tuesday 9th July 2019 23:12","https://sullygnome.com/channel/theatlasfamily/stream/34844362432","183","4026","22","31","3","0","137","42","Escape from Tarkov"
"31","Tuesday 9th July 2019 13:30","https://sullygnome.com/channel/theatlasfamily/stream/34838118560","210","5040","24","34","0","0","103","29","Escape from Tarkov"
"32","Tuesday 9th July 2019 12:50","https://sullygnome.com/channel/theatlasfamily/stream/34837808112","25","375","15","18","0","0","14","28","Escape from Tarkov"
"33","Monday 8th July 2019 18:29","https://sullygnome.com/channel/theatlasfamily/stream/34828625792","181","3258","18","30","1","0","100","30","Escape from Tarkov"
"34","Monday 8th July 2019 11:34","https://sullygnome.com/channel/theatlasfamily/stream/34824842352","251","6777","27","32","3","0","116","27","Escape from Tarkov"
"35","Saturday 6th July 2019 12:51","https://sullygnome.com/channel/theatlasfamily/stream/34800632864","309","12669","41","59","9","1","125","23","Escape from Tarkov"
"36","Friday 5th July 2019 13:15","https://sullygnome.com/channel/theatlasfamily/stream/34788212624","495","14850","30","47","4","0","230","27","Escape from Tarkov"
"37","Thursday 4th July 2019 13:19","https://sullygnome.com/channel/theatlasfamily/stream/34776775616","266","7182","27","37","1","0","105","23","Escape from Tarkov"
"38","Wednesday 3rd July 2019 15:38","https://sullygnome.com/channel/theatlasfamily/stream/34765433072","457","14167","31","52","8","1","186","26","Escape from Tarkov"
"39","Tuesday 2nd July 2019 18:50","https://sullygnome.com/channel/theatlasfamily/stream/34754962288","235","4700","20","26","1","0","84","21","Escape from Tarkov"
"40","Tuesday 2nd July 2019 13:07","https://sullygnome.com/channel/theatlasfamily/stream/34751461856","203","4263","21","29","2","0","69","19","Escape from Tarkov,The Jackbox Party Pack 5"
