"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 08:45","https://sullygnome.com/channel/timba_tm/stream/35071746432","0","0","0","0","0","0","0","0","Brawl Stars"
"2","Saturday 27th July 2019 18:00","https://sullygnome.com/channel/timba_tm/stream/35064106480","90","90","1","3","1","0","9","5","Brawl Stars"
"3","Saturday 27th July 2019 06:00","https://sullygnome.com/channel/timba_tm/stream/35059152288","90","180","2","3","3","1","7","4","Brawl Stars"
"4","Thursday 25th July 2019 17:45","https://sullygnome.com/channel/timba_tm/stream/35039951632","135","270","2","5","0","0","13","5","Brawl Stars"
"5","Thursday 25th July 2019 10:30","https://sullygnome.com/channel/timba_tm/stream/35036638272","45","45","1","3","0","0","3","3","Brawl Stars"
"6","Tuesday 23rd July 2019 17:30","https://sullygnome.com/channel/timba_tm/stream/35015305664","60","60","1","4","4","3","4","3","Brawl Stars"
"7","Sunday 21st July 2019 18:00","https://sullygnome.com/channel/timba_tm/stream/34991575664","30","30","1","2","0","0","1","1","Brawl Stars"
"8","Sunday 21st July 2019 11:15","https://sullygnome.com/channel/timba_tm/stream/34987979760","45","180","4","7","2","2","14","14","Brawl Stars"
"9","Thursday 18th July 2019 17:00","https://sullygnome.com/channel/timba_tm/stream/34952340176","0","0","3","3","0","0","0","0","Brawl Stars"
"10","Thursday 18th July 2019 08:43","https://sullygnome.com/channel/timba_tm/stream/34948746768","167","334","2","7","14","4","18","6","Brawl Stars"
"11","Wednesday 17th July 2019 18:00","https://sullygnome.com/channel/timba_tm/stream/34940474992","75","150","2","3","5","3","15","10","Brawl Stars"
"12","Wednesday 17th July 2019 11:24","https://sullygnome.com/channel/timba_tm/stream/34936995760","66","66","1","2","6","6","2","2","Brawl Stars"
"13","Tuesday 16th July 2019 17:30","https://sullygnome.com/channel/timba_tm/stream/34927451136","90","360","4","5","8","4","3","1","Brawl Stars"
"14","Tuesday 16th July 2019 14:30","https://sullygnome.com/channel/timba_tm/stream/34925615920","60","120","2","6","1","0","9","7","Brawl Stars"
"15","Monday 15th July 2019 08:30","https://sullygnome.com/channel/timba_tm/stream/34911044016","45","90","2","3","4","4","5","5","Brawl Stars"
"16","Sunday 14th July 2019 17:39","https://sullygnome.com/channel/timba_tm/stream/34903155456","126","504","4","8","6","3","24","12","Brawl Stars"
"17","Sunday 14th July 2019 05:48","https://sullygnome.com/channel/timba_tm/stream/34897900992","87","435","5","10","9","6","5","3","Brawl Stars"
"18","Friday 12th July 2019 17:30","https://sullygnome.com/channel/timba_tm/stream/34877869536","30","60","2","3","2","2","4","5","Brawl Stars"
"19","Wednesday 10th July 2019 17:15","https://sullygnome.com/channel/timba_tm/stream/34852620992","105","420","4","7","6","3","9","4","Brawl Stars"
"20","Monday 8th July 2019 18:30","https://sullygnome.com/channel/timba_tm/stream/34828508016","60","120","2","5","6","4","9","7","Brawl Stars"
"21","Monday 8th July 2019 11:45","https://sullygnome.com/channel/timba_tm/stream/34824881984","60","120","2","6","5","4","12","9","Brawl Stars"
"22","Monday 8th July 2019 09:30","https://sullygnome.com/channel/timba_tm/stream/34824121728","15","45","3","6","1","2","0","0","Brawl Stars"
"23","Sunday 7th July 2019 17:15","https://sullygnome.com/channel/timba_tm/stream/34815564224","75","75","1","3","3","2","5","3","Brawl Stars"
"24","Sunday 7th July 2019 11:30","https://sullygnome.com/channel/timba_tm/stream/34812557280","90","90","1","6","26","14","15","8","Clash Royale,Brawl Stars"
"25","Saturday 6th July 2019 18:59","https://sullygnome.com/channel/timba_tm/stream/34804239136","181","724","4","7","-8","-2","28","9","Brawl Stars"
"26","Saturday 6th July 2019 18:45","https://sullygnome.com/channel/timba_tm/stream/34803977936","0","0","2","2","0","0","0","0","Brawl Stars"
"27","Saturday 6th July 2019 09:15","https://sullygnome.com/channel/timba_tm/stream/34799154736","90","180","2","4","8","4","12","6","Brawl Stars"
"28","Friday 5th July 2019 17:45","https://sullygnome.com/channel/timba_tm/stream/34790570464","105","105","1","6","2","1","13","6","Brawl Stars"
"29","Thursday 4th July 2019 17:45","https://sullygnome.com/channel/timba_tm/stream/34779062448","105","210","2","5","2","1","9","4","Brawl Stars"
"30","Wednesday 3rd July 2019 16:15","https://sullygnome.com/channel/timba_tm/stream/34765749664","105","105","1","4","4","2","6","3","Brawl Stars"
"31","Wednesday 3rd July 2019 11:00","https://sullygnome.com/channel/timba_tm/stream/34763211328","105","210","2","6","5","2","21","10","Brawl Stars"
"32","Wednesday 3rd July 2019 06:15","https://sullygnome.com/channel/timba_tm/stream/34761787792","60","180","3","7","3","2","5","4","Brawl Stars"
"33","Tuesday 2nd July 2019 19:15","https://sullygnome.com/channel/timba_tm/stream/34754344944","30","60","2","2","1","1","2","2","Brawl Stars"
"34","Tuesday 2nd July 2019 17:45","https://sullygnome.com/channel/timba_tm/stream/34754135232","0","0","0","1","1","4","6","24","Brawl Stars"
"35","Tuesday 2nd July 2019 17:15","https://sullygnome.com/channel/timba_tm/stream/34753751328","0","0","0","1","1","4","6","24","Brawl Stars"
"36","Tuesday 2nd July 2019 12:25","https://sullygnome.com/channel/timba_tm/stream/34751161632","80","160","2","3","2","1","8","6","Brawl Stars"
"37","Monday 1st July 2019 17:30","https://sullygnome.com/channel/timba_tm/stream/34741658096","120","240","2","7","7","3","13","5","Brawl Stars"
"38","Monday 1st July 2019 08:30","https://sullygnome.com/channel/timba_tm/stream/34737598176","60","60","1","2","2","1","2","1","Brawl Stars"
