"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 01:33","https://sullygnome.com/channel/tinkcho123/stream/35080744736","492","32964","67","116","12","1","1100","137","Rust"
"2","Saturday 27th July 2019 03:00","https://sullygnome.com/channel/tinkcho123/stream/35057499040","150","15000","100","126","4","1","485","176","Rust"
"3","Thursday 25th July 2019 21:50","https://sullygnome.com/channel/tinkcho123/stream/35042797120","970","92150","95","134","14","0","2070","127","Rust"
"4","Thursday 25th July 2019 04:01","https://sullygnome.com/channel/tinkcho123/stream/35034485264","284","10224","36","50","2","0","580","116","Rust"
"5","Wednesday 24th July 2019 18:58","https://sullygnome.com/channel/tinkcho123/stream/35028727120","182","5278","29","45","1","0","255","78","Rust"
"6","Tuesday 23rd July 2019 16:15","https://sullygnome.com/channel/tinkcho123/stream/35014679056","765","89505","117","641","22","1","2132","164","Rust"
"7","Monday 22nd July 2019 13:25","https://sullygnome.com/channel/tinkcho123/stream/35000801120","875","63875","73","109","17","1","1757","119","Rust"
"8","Sunday 21st July 2019 15:35","https://sullygnome.com/channel/tinkcho123/stream/34990082224","415","38595","93","120","6","0","597","85","Rust"
"9","Saturday 20th July 2019 11:46","https://sullygnome.com/channel/tinkcho123/stream/34974869296","1079","203931","189","765","29","1","3188","177","Rust"
"10","Friday 19th July 2019 05:31","https://sullygnome.com/channel/tinkcho123/stream/34960165248","899","89001","99","137","3","0","1269","84","Rust"
"11","Thursday 18th July 2019 21:10","https://sullygnome.com/channel/tinkcho123/stream/34955286480","305","25010","82","110","5","1","349","69","Rust"
"12","Thursday 18th July 2019 19:06","https://sullygnome.com/channel/tinkcho123/stream/34953844752","54","1026","19","31","0","0","32","32","Rust"
"13","Sunday 14th July 2019 04:10","https://sullygnome.com/channel/tinkcho123/stream/34897184800","680","53040","78","140","7","0","1254","109","Rust"
"14","Saturday 13th July 2019 08:37","https://sullygnome.com/channel/tinkcho123/stream/34886457104","548","58636","107","142","11","1","1127","121","Rust"
"15","Saturday 13th July 2019 05:00","https://sullygnome.com/channel/tinkcho123/stream/34885100336","0","0","28","28","0","0","0","0","Rust"
"16","Thursday 11th July 2019 22:08","https://sullygnome.com/channel/tinkcho123/stream/34868652544","352","31680","90","144","6","1","374","62","Rust"
"17","Thursday 11th July 2019 05:01","https://sullygnome.com/channel/tinkcho123/stream/34860258672","419","26816","64","92","5","0","694","99","Rust"
"18","Wednesday 10th July 2019 03:05","https://sullygnome.com/channel/tinkcho123/stream/34846844064","820","91840","112","189","11","0","1359","98","Rust"
"19","Monday 8th July 2019 21:53","https://sullygnome.com/channel/tinkcho123/stream/34831016048","892","87416","98","135","12","0","1279","85","Rust"
"20","Sunday 7th July 2019 20:59","https://sullygnome.com/channel/tinkcho123/stream/34818260240","736","60352","82","108","5","0","786","64","Rust"
"21","Saturday 6th July 2019 00:06","https://sullygnome.com/channel/tinkcho123/stream/34794952496","1239","115227","93","144","3","0","1435","69","Rust"
"22","Friday 5th July 2019 06:34","https://sullygnome.com/channel/tinkcho123/stream/34785934224","491","41735","85","112","2","0","751","91","Rust"
"23","Thursday 4th July 2019 20:58","https://sullygnome.com/channel/tinkcho123/stream/34781469200","497","29820","60","90","1","0","471","57","Rust"
"24","Tuesday 2nd July 2019 15:32","https://sullygnome.com/channel/tinkcho123/stream/34752674496","583","19822","34","63","7","0","457","46","Rust"
"25","Monday 1st July 2019 12:14","https://sullygnome.com/channel/tinkcho123/stream/34738887984","511","17885","35","65","0","0","420","48","Rust,League of Legends"
