"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 00:07","https://sullygnome.com/channel/vallour/stream/35092033808","113","1243","11","16","0","0","33","16","Star Wars: The Old Republic"
"2","Monday 29th July 2019 00:10","https://sullygnome.com/channel/vallour/stream/35079946656","110","1210","11","21","0","0","36","18","Star Wars: The Old Republic"
"3","Saturday 27th July 2019 01:29","https://sullygnome.com/channel/vallour/stream/35056902976","121","847","7","11","0","0","26","11","Star Wars: The Old Republic"
"4","Friday 26th July 2019 00:30","https://sullygnome.com/channel/vallour/stream/35044478448","135","1215","9","16","1","0","42","16","Star Wars: The Old Republic"
"5","Thursday 25th July 2019 00:45","https://sullygnome.com/channel/vallour/stream/35032482224","75","225","3","5","0","0","7","4","Star Wars: The Old Republic"
"6","Monday 22nd July 2019 23:13","https://sullygnome.com/channel/vallour/stream/35006953872","152","1064","7","13","0","0","30","12","Star Wars: The Old Republic"
"7","Monday 22nd July 2019 05:30","https://sullygnome.com/channel/vallour/stream/34998190528","0","0","1","1","0","0","0","0","Mass Effect"
"8","Monday 22nd July 2019 00:01","https://sullygnome.com/channel/vallour/stream/34995475680","119","1785","15","24","0","0","58","29","Star Wars: The Old Republic"
"9","Saturday 20th July 2019 01:24","https://sullygnome.com/channel/vallour/stream/34970414880","96","960","10","14","2","1","22","12","Star Wars: The Old Republic"
"10","Friday 19th July 2019 00:44","https://sullygnome.com/channel/vallour/stream/34957554096","31","217","7","8","0","0","0","0","Star Wars: The Old Republic"
"11","Thursday 18th July 2019 00:43","https://sullygnome.com/channel/vallour/stream/34945111312","92","736","8","12","0","0","17","9","Star Wars: The Old Republic"
"12","Tuesday 16th July 2019 00:09","https://sullygnome.com/channel/vallour/stream/34919575840","96","768","8","12","0","0","21","12","Star Wars: The Old Republic"
"13","Monday 15th July 2019 00:07","https://sullygnome.com/channel/vallour/stream/34907427088","113","791","7","10","2","1","8","4","Star Wars: The Old Republic"
"14","Saturday 13th July 2019 01:30","https://sullygnome.com/channel/vallour/stream/34883198784","105","735","7","11","0","0","19","9","Star Wars: The Old Republic"
"15","Friday 12th July 2019 00:53","https://sullygnome.com/channel/vallour/stream/34870397680","127","1397","11","15","0","0","13","6","Star Wars: The Old Republic"
"16","Thursday 11th July 2019 00:41","https://sullygnome.com/channel/vallour/stream/34857857456","94","846","9","12","0","0","17","9","Star Wars: The Old Republic"
"17","Tuesday 9th July 2019 00:09","https://sullygnome.com/channel/vallour/stream/34832452656","96","960","10","12","0","0","29","16","Star Wars: The Old Republic"
"18","Monday 8th July 2019 00:14","https://sullygnome.com/channel/vallour/stream/34820246256","91","1183","13","18","1","0","42","24","Star Wars: The Old Republic"
"19","Saturday 6th July 2019 15:15","https://sullygnome.com/channel/vallour/stream/34801818272","105","420","4","9","0","0","28","14","Star Wars: The Old Republic"
"20","Saturday 6th July 2019 01:22","https://sullygnome.com/channel/vallour/stream/34795717584","98","686","7","14","0","0","20","11","Star Wars: The Old Republic"
"21","Thursday 4th July 2019 01:00","https://sullygnome.com/channel/vallour/stream/34771498576","60","240","4","7","0","0","14","11","Star Wars: The Old Republic"
"22","Tuesday 2nd July 2019 00:11","https://sullygnome.com/channel/vallour/stream/34746100976","94","564","6","9","0","0","4","2","Star Wars: The Old Republic"
"23","Monday 1st July 2019 00:11","https://sullygnome.com/channel/vallour/stream/34734164880","109","872","8","12","0","0","24","12","Star Wars: The Old Republic"
