"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 22:15","https://sullygnome.com/channel/virdant/stream/35116566992","285","855","3","5","2","0","12","2","Counter-Strike: Global Offensive"
"2","Monday 29th July 2019 21:18","https://sullygnome.com/channel/virdant/stream/35090032080","432","864","2","5","0","0","20","2","Counter-Strike: Global Offensive,Grand Theft Auto V,Minecraft"
"3","Sunday 28th July 2019 00:17","https://sullygnome.com/channel/virdant/stream/35068022880","448","1344","3","5","1","0","11","1","Counter-Strike: Global Offensive,Minecraft"
"4","Saturday 27th July 2019 01:45","https://sullygnome.com/channel/virdant/stream/35056931216","105","210","2","4","0","0","6","3","Counter-Strike: Global Offensive,Sea of Thieves"
"5","Friday 26th July 2019 23:45","https://sullygnome.com/channel/virdant/stream/35055894096","90","90","1","3","0","0","5","2","Fortnite,Counter-Strike: Global Offensive"
"6","Wednesday 24th July 2019 21:15","https://sullygnome.com/channel/virdant/stream/35030260064","255","510","2","3","3","0","8","1","Fortnite,Minecraft"
"7","Thursday 18th July 2019 20:45","https://sullygnome.com/channel/virdant/stream/34954908672","525","1575","3","7","3","0","42","4","Fortnite,Minecraft,Counter-Strike: Global Offensive"
"8","Thursday 18th July 2019 02:33","https://sullygnome.com/channel/virdant/stream/34946314256","252","1008","4","6","1","0","20","4","Fortnite,Counter-Strike: Global Offensive,Minecraft"
"9","Monday 15th July 2019 20:15","https://sullygnome.com/channel/virdant/stream/34916984928","180","360","2","3","0","0","9","2","Minecraft"
"10","Sunday 14th July 2019 00:51","https://sullygnome.com/channel/virdant/stream/34895312896","354","1416","4","7","1","0","13","2","Fortnite,League of Legends,Just Chatting"
"11","Saturday 13th July 2019 00:23","https://sullygnome.com/channel/virdant/stream/34882507760","217","434","2","5","0","0","4","1","League of Legends,Fortnite"
"12","Thursday 11th July 2019 02:06","https://sullygnome.com/channel/virdant/stream/34858776880","174","696","4","9","0","0","3","1","League of Legends,Fortnite"
"13","Monday 8th July 2019 21:11","https://sullygnome.com/channel/virdant/stream/34830573712","589","1767","3","5","-1","0","34","3","Fortnite,League of Legends,Counter-Strike: Global Offensive,Minecraft"
"14","Sunday 7th July 2019 01:30","https://sullygnome.com/channel/virdant/stream/34808387184","405","1215","3","8","0","0","28","4","League of Legends,Fortnite,Counter-Strike: Global Offensive"
"15","Friday 5th July 2019 23:55","https://sullygnome.com/channel/virdant/stream/34794833696","320","640","2","5","1","0","15","2","Fortnite,Counter-Strike: Global Offensive"
"16","Thursday 4th July 2019 02:30","https://sullygnome.com/channel/virdant/stream/34772504624","180","360","2","4","1","0","14","4","Just Chatting,Stick Fight: The Game,Fortnite"
"17","Monday 1st July 2019 21:45","https://sullygnome.com/channel/virdant/stream/34744575776","390","1170","3","5","2","0","17","2","League of Legends,Fortnite"
