"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:04","https://sullygnome.com/channel/wadu/stream/35107368912","491","327497","667","1277","474","57","11603","1406","Minecraft"
"2","Tuesday 30th July 2019 04:20","https://sullygnome.com/channel/wadu/stream/35094538560","430","264020","614","781","716","98","11539","1591","Minecraft"
"3","Monday 29th July 2019 03:58","https://sullygnome.com/channel/wadu/stream/35081985104","392","208152","531","686","532","78","9576","1418","Minecraft"
"4","Sunday 28th July 2019 02:50","https://sullygnome.com/channel/wadu/stream/35069446848","355","206255","581","793","601","96","9503","1520","Minecraft"
"5","Saturday 27th July 2019 04:05","https://sullygnome.com/channel/wadu/stream/35058383984","370","203130","549","906","546","87","9715","1554","Minecraft"
"6","Saturday 27th July 2019 03:30","https://sullygnome.com/channel/wadu/stream/35058107888","15","1560","104","208","7","14","0","0","Minecraft"
"7","Friday 26th July 2019 01:02","https://sullygnome.com/channel/wadu/stream/35044801360","358","156446","437","588","497","82","7652","1275","Minecraft"
"8","Thursday 25th July 2019 01:20","https://sullygnome.com/channel/wadu/stream/35032943200","535","237540","444","648","737","81","11021","1224","Minecraft"
"9","Wednesday 24th July 2019 04:29","https://sullygnome.com/channel/wadu/stream/35022491888","331","152260","460","656","489","85","7738","1345","Minecraft"
"10","Tuesday 23rd July 2019 21:44","https://sullygnome.com/channel/wadu/stream/35018419600","166","68558","413","498","188","68","3984","1448","Minecraft"
"11","Tuesday 23rd July 2019 21:30","https://sullygnome.com/channel/wadu/stream/35018314352","0","0","0","0","0","0","0","0","Minecraft"
"12","Monday 22nd July 2019 22:16","https://sullygnome.com/channel/wadu/stream/35006337072","419","147907","353","496","296","40","8396","1158","Minecraft,Fortnite"
"13","Monday 22nd July 2019 01:48","https://sullygnome.com/channel/wadu/stream/34996512048","387","202401","523","788","261","40","8913","1371","Minecraft"
"14","Sunday 21st July 2019 01:52","https://sullygnome.com/channel/wadu/stream/34984334432","353","1417295","4015","11863","1174","195","33293","5548","Minecraft"
"15","Wednesday 17th July 2019 01:44","https://sullygnome.com/channel/wadu/stream/34933172032","151","38052","252","410","260","94","3961","1440","PUBG: BATTLEGROUNDS,Counter-Strike: Global Offensive"
"16","Tuesday 9th July 2019 19:39","https://sullygnome.com/channel/wadu/stream/34842000656","201","36582","182","252","9","2","2316","661","PUBG: BATTLEGROUNDS,Fortnite"
"17","Monday 8th July 2019 22:03","https://sullygnome.com/channel/wadu/stream/34831128800","162","36936","228","264","5","1","2773","1008","PUBG: BATTLEGROUNDS"
"18","Friday 5th July 2019 16:50","https://sullygnome.com/channel/wadu/stream/34790069056","145","32335","223","293","4","1","2006","802","PUBG: BATTLEGROUNDS"
"19","Monday 1st July 2019 16:20","https://sullygnome.com/channel/wadu/stream/34740896720","100","26100","261","344","13","8","1213","808","PUBG: BATTLEGROUNDS"
