"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 02:58","https://sullygnome.com/channel/walruspi/stream/35106716496","122","366","3","7","2","1","2","1","Unlisted on Twitch"
"2","Monday 29th July 2019 20:45","https://sullygnome.com/channel/walruspi/stream/35089791984","45","45","1","1","0","0","1","1","Call of Duty: Black Ops 4"
"3","Monday 29th July 2019 05:00","https://sullygnome.com/channel/walruspi/stream/35082319664","75","900","12","19","2","1","23","15","Unlisted on Twitch"
"4","Saturday 27th July 2019 22:15","https://sullygnome.com/channel/walruspi/stream/35066908608","210","210","1","6","0","0","12","3","Music,Makers &amp; Crafting"
"5","Friday 26th July 2019 02:00","https://sullygnome.com/channel/walruspi/stream/35045002880","45","135","3","4","0","0","2","2","Music"
"6","Thursday 25th July 2019 02:15","https://sullygnome.com/channel/walruspi/stream/35033523680","195","1755","9","19","3","0","31","8","Unlisted on Twitch"
"7","Monday 22nd July 2019 01:30","https://sullygnome.com/channel/walruspi/stream/34996198928","75","75","1","2","0","0","5","3","Call of Duty: Black Ops 4"
"8","Sunday 21st July 2019 05:26","https://sullygnome.com/channel/walruspi/stream/34986109840","64","896","14","25","0","0","33","33","Music"
"9","Sunday 21st July 2019 03:50","https://sullygnome.com/channel/walruspi/stream/34985389088","85","1105","13","25","6","4","89","71","Music"
"10","Sunday 21st July 2019 03:30","https://sullygnome.com/channel/walruspi/stream/34985218528","15","30","2","5","0","0","1","2","Music"
"11","Saturday 20th July 2019 16:15","https://sullygnome.com/channel/walruspi/stream/34977204432","75","150","2","6","2","1","8","5","Music"
"12","Friday 19th July 2019 02:00","https://sullygnome.com/channel/walruspi/stream/34958379712","0","0","1","1","0","0","0","0","Call of Duty: Black Ops 4"
"13","Thursday 18th July 2019 02:15","https://sullygnome.com/channel/walruspi/stream/34946172896","120","600","5","8","-1","0","7","3","Unlisted on Twitch,Music"
"14","Wednesday 17th July 2019 02:54","https://sullygnome.com/channel/walruspi/stream/34933883008","156","1248","8","15","0","0","16","5","Unlisted on Twitch"
"15","Monday 15th July 2019 03:14","https://sullygnome.com/channel/walruspi/stream/34909204512","106","742","7","9","1","0","12","8","Unlisted on Twitch"
"16","Sunday 14th July 2019 23:57","https://sullygnome.com/channel/walruspi/stream/34907317040","183","915","5","8","1","0","23","8","Unlisted on Twitch"
"17","Sunday 14th July 2019 01:30","https://sullygnome.com/channel/walruspi/stream/34895681888","0","0","2","2","0","0","0","0","Travel &amp; Outdoors"
"18","Saturday 13th July 2019 22:45","https://sullygnome.com/channel/walruspi/stream/34893809088","75","225","3","6","0","0","8","5","Music"
"19","Friday 12th July 2019 02:06","https://sullygnome.com/channel/walruspi/stream/34871203040","189","1890","10","20","4","1","29","8","Music"
"20","Wednesday 10th July 2019 05:06","https://sullygnome.com/channel/walruspi/stream/34847819760","189","4914","26","50","8","2","92","28","Music"
"21","Tuesday 9th July 2019 02:19","https://sullygnome.com/channel/walruspi/stream/34833838048","221","442","2","6","0","0","15","3","Music"
"22","Saturday 6th July 2019 23:41","https://sullygnome.com/channel/walruspi/stream/34807334976","124","620","5","9","4","1","11","4","Music"
"23","Saturday 6th July 2019 04:43","https://sullygnome.com/channel/walruspi/stream/34797595968","167","835","5","11","1","0","18","6","Music"
"24","Thursday 4th July 2019 05:46","https://sullygnome.com/channel/walruspi/stream/34774150608","119","952","8","11","2","1","11","5","Music"
"25","Wednesday 3rd July 2019 06:30","https://sullygnome.com/channel/walruspi/stream/34761862016","75","150","2","4","0","0","13","8","Music"
"26","Tuesday 2nd July 2019 03:27","https://sullygnome.com/channel/walruspi/stream/34748067472","138","414","3","6","0","0","8","3","Music"
"27","Tuesday 2nd July 2019 02:00","https://sullygnome.com/channel/walruspi/stream/34747190768","15","0","0","1","0","0","0","0","Music"
