"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Animal Royale","1950","7380","3","8","133","4.092307"
"2","Hollow Knight","690","2580","3","8","31","2.695652"
"3","Toontown Online","570","3450","4","13","107","11.263157"
"4","Minecraft","555","1845","2","9","10","1.081081"
"5","Swords & Souls: Neverseen","510","2400","4","7","39","4.588235"
"6","The Escapists 2","435","1665","3","7","17","2.344827"
"7","Pokémon: Let's Go, Pikachu!","420","1305","2","5","31","4.428571"
"8","Overwatch","315","750","1","4","41","7.809523"
"9","Super Mario Maker 2","255","705","2","5","11","2.588235"
"10","Mario Party 2","165","600","3","6","19","6.90909"
"11","Spelunky","105","435","4","6","8","4.571428"
"12","Ghosts 'n Goblins","105","450","4","7","6","3.428571"
"13","Call of Duty: World at War","90","420","4","6","7","4.666666"
"14","MapleStory","75","315","4","6","8","6.4"
"15","The Binding of Isaac: Repentance","15","0","0","0","1","4"
