"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 01:25","https://sullygnome.com/channel/xdevotv/stream/35080661408","125","375","3","9","0","0","13","6","Fortnite"
"2","Thursday 25th July 2019 21:35","https://sullygnome.com/channel/xdevotv/stream/35042649056","310","1240","4","8","0","0","21","4","Fortnite"
"3","Thursday 25th July 2019 00:00","https://sullygnome.com/channel/xdevotv/stream/35032092672","240","720","3","9","3","0","23","5","Fortnite"
"4","Wednesday 24th July 2019 18:30","https://sullygnome.com/channel/xdevotv/stream/35028446400","105","315","3","7","-3","-1","15","7","Fortnite"
"5","Thursday 18th July 2019 20:34","https://sullygnome.com/channel/xdevotv/stream/34954888256","146","292","2","6","-1","0","21","8","Fortnite"
"6","Tuesday 16th July 2019 16:50","https://sullygnome.com/channel/xdevotv/stream/34927053728","400","1200","3","7","1","0","43","6","Fortnite"
"7","Monday 15th July 2019 21:45","https://sullygnome.com/channel/xdevotv/stream/34918055504","165","330","2","7","1","0","22","7","Fortnite"
"8","Friday 12th July 2019 20:19","https://sullygnome.com/channel/xdevotv/stream/34879936512","131","655","5","6","0","0","19","8","Fortnite"
"9","Tuesday 9th July 2019 15:45","https://sullygnome.com/channel/xdevotv/stream/34839256688","285","1140","4","10","2","0","45","9","Fortnite"
"10","Tuesday 2nd July 2019 18:30","https://sullygnome.com/channel/xdevotv/stream/34754707920","255","1020","4","7","2","0","24","6","Fortnite"
"11","Monday 1st July 2019 20:55","https://sullygnome.com/channel/xdevotv/stream/34744074112","185","370","2","5","0","0","11","3","Fortnite"
