"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 11:48","https://sullygnome.com/channel/xabbielou/stream/35084487040","342","7524","22","29","33","5","162","28","Fortnite"
"2","Friday 26th July 2019 13:17","https://sullygnome.com/channel/xabbielou/stream/35049738416","298","6556","22","43","41","7","158","30","Fortnite"
"3","Sunday 21st July 2019 11:42","https://sullygnome.com/channel/xabbielou/stream/34988204640","258","4386","17","30","24","5","158","35","Fortnite"
"4","Thursday 18th July 2019 11:10","https://sullygnome.com/channel/xabbielou/stream/34949522592","155","2945","19","24","26","9","91","33","Fortnite"
"5","Wednesday 17th July 2019 11:29","https://sullygnome.com/channel/xabbielou/stream/34937026400","346","7958","23","32","56","10","138","25","Fortnite"
"6","Tuesday 16th July 2019 10:45","https://sullygnome.com/channel/xabbielou/stream/34924012528","330","8580","26","36","58","9","187","31","Fortnite"
"7","Saturday 13th July 2019 11:06","https://sullygnome.com/channel/xabbielou/stream/34887279008","369","7749","21","32","39","6","154","24","Fortnite"
"8","Friday 12th July 2019 09:52","https://sullygnome.com/channel/xabbielou/stream/34874267824","368","7360","20","29","37","5","155","24","Fortnite"
"9","Tuesday 9th July 2019 10:33","https://sullygnome.com/channel/xabbielou/stream/34836917504","192","3840","20","33","32","9","98","30","Fortnite"
"10","Monday 8th July 2019 10:54","https://sullygnome.com/channel/xabbielou/stream/34824590992","276","6624","24","31","34","7","117","26","Fortnite"
"11","Saturday 6th July 2019 11:00","https://sullygnome.com/channel/xabbielou/stream/34800100176","390","9750","25","37","59","8","225","33","Fortnite"
"12","Thursday 4th July 2019 10:51","https://sullygnome.com/channel/xabbielou/stream/34775776080","249","5229","21","28","31","7","96","22","Fortnite"
"13","Wednesday 3rd July 2019 10:35","https://sullygnome.com/channel/xabbielou/stream/34763128480","310","8370","27","42","54","10","175","35","Fortnite"
"14","Monday 1st July 2019 11:41","https://sullygnome.com/channel/xabbielou/stream/34738673488","229","4351","19","28","14","3","150","37","Fortnite"
