"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:57","https://sullygnome.com/channel/xxshawn/stream/35113581136","108","1512","14","19","-1","0","36","20","The Legend of Zelda: Majora's Mask"
"2","Monday 29th July 2019 03:10","https://sullygnome.com/channel/xxshawn/stream/35081615728","110","880","8","11","0","0","21","10","The Legend of Zelda: Majora's Mask"
"3","Sunday 28th July 2019 02:52","https://sullygnome.com/channel/xxshawn/stream/35069462288","143","5291","37","90","9","3","144","57","The Legend of Zelda: Majora's Mask"
"4","Friday 26th July 2019 01:23","https://sullygnome.com/channel/xxshawn/stream/35045029392","307","15964","52","210","7","1","234","44","The Legend of Zelda: Majora's Mask"
"5","Thursday 25th July 2019 02:01","https://sullygnome.com/channel/xxshawn/stream/35033372432","284","3408","12","29","-3","0","47","9","The Legend of Zelda: Majora's Mask"
"6","Friday 19th July 2019 03:00","https://sullygnome.com/channel/xxshawn/stream/34958949808","165","1485","9","19","1","0","30","10","The Legend of Zelda: Majora's Mask"
"7","Thursday 18th July 2019 18:37","https://sullygnome.com/channel/xxshawn/stream/34953486800","113","1017","9","12","-1","0","22","11","The Legend of Zelda: Majora's Mask"
"8","Wednesday 17th July 2019 03:57","https://sullygnome.com/channel/xxshawn/stream/34934444960","153","1071","7","14","0","0","27","9","The Legend of Zelda: Majora's Mask"
"9","Tuesday 16th July 2019 03:43","https://sullygnome.com/channel/xxshawn/stream/34921733280","182","2002","11","35","2","0","78","24","The Legend of Zelda: Majora's Mask"
"10","Friday 12th July 2019 03:17","https://sullygnome.com/channel/xxshawn/stream/34871889440","178","2136","12","31","0","0","40","13","The Legend of Zelda: Majora's Mask"
"11","Monday 8th July 2019 01:05","https://sullygnome.com/channel/xxshawn/stream/34820706736","190","3230","17","29","0","0","85","24","The Legend of Zelda: Majora's Mask"
"12","Sunday 7th July 2019 04:07","https://sullygnome.com/channel/xxshawn/stream/34809850896","143","1573","11","18","1","0","28","11","The Legend of Zelda: Majora's Mask"
"13","Friday 5th July 2019 03:19","https://sullygnome.com/channel/xxshawn/stream/34784629232","131","1965","15","20","1","0","49","19","The Legend of Zelda: Majora's Mask"
"14","Wednesday 3rd July 2019 03:44","https://sullygnome.com/channel/xxshawn/stream/34760778800","211","8440","40","96","0","0","141","37","The Legend of Zelda: Majora's Mask"
