"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 22nd July 2019 15:33","https://sullygnome.com/channel/zdanylion/stream/35001855696","102","1530","15","19","6","3","40","22","Fortnite"
"2","Wednesday 17th July 2019 15:10","https://sullygnome.com/channel/zdanylion/stream/34938728560","110","1980","18","26","11","5","55","27","Minecraft"
"3","Tuesday 16th July 2019 14:48","https://sullygnome.com/channel/zdanylion/stream/34925884416","132","2640","20","26","5","2","49","21","Just Chatting"
"4","Monday 15th July 2019 15:05","https://sullygnome.com/channel/zdanylion/stream/34913598800","130","1690","13","16","9","5","30","17","Minecraft"
"5","Friday 12th July 2019 15:15","https://sullygnome.com/channel/zdanylion/stream/34876438320","45","405","9","11","1","1","14","14","Fortnite,Just Chatting"
"6","Thursday 11th July 2019 19:02","https://sullygnome.com/channel/zdanylion/stream/34866530352","163","1793","11","17","14","4","56","18","Minecraft"
"7","Wednesday 10th July 2019 15:08","https://sullygnome.com/channel/zdanylion/stream/34851508416","172","3268","19","27","12","4","85","28","Minecraft"
"8","Tuesday 9th July 2019 15:01","https://sullygnome.com/channel/zdanylion/stream/34838887872","149","3278","22","30","2","0","96","34","Just Chatting"
"9","Monday 8th July 2019 15:08","https://sullygnome.com/channel/zdanylion/stream/34826470864","157","2826","18","21","13","4","58","21","Minecraft"
"10","Thursday 4th July 2019 15:07","https://sullygnome.com/channel/zdanylion/stream/34777660144","128","1920","15","18","19","8","58","25","Minecraft"
"11","Wednesday 3rd July 2019 15:00","https://sullygnome.com/channel/zdanylion/stream/34765089264","150","3300","22","28","4","1","46","18","Just Chatting"
"12","Tuesday 2nd July 2019 14:17","https://sullygnome.com/channel/zdanylion/stream/34751997216","193","3281","17","23","6","1","75","23","Just Chatting"
