"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Call of Duty: Black Ops 4","2325","11415","5","13","288","7.432258"
"2","Dead by Daylight","1740","8895","5","22","213","7.344827"
"3","Fortnite","1065","13320","9","54","159","8.957746"
"4","Grand Theft Auto V","855","5730","5","39","114","8"
"5","Overwatch","330","2415","6","12","34","6.181818"
"6","NBA 2K19","240","1545","6","15","35","8.75"
"7","For Honor","165","915","4","8","31","11.272727"
"8","Tom Clancy's Rainbow Six Siege","105","585","5","7","16","9.142857"
"9","Just Chatting","105","1590","15","22","107","61.142857"
"10","Deceit","45","405","9","10","1","1.333333"
"11","Unlisted on Twitch","15","90","6","6","0","0"
