"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:28","https://sullygnome.com/channel/munchikinhwa/stream/35116157696","932","37280","40","82","20","1","1189","75","Teamfight Tactics"
"2","Wednesday 31st July 2019 20:09","https://sullygnome.com/channel/munchikinhwa/stream/35111150784","6","348","58","90","4","0","1018","150","MapleStory"
"3","Tuesday 30th July 2019 00:41","https://sullygnome.com/channel/munchikinhwa/stream/35092402432","1084","42276","39","70","41","2","1822","99","Teamfight Tactics"
"4","Monday 29th July 2019 02:06","https://sullygnome.com/channel/munchikinhwa/stream/35081057520","684","32832","48","69","10","0","1277","111","Teamfight Tactics"
"5","Saturday 27th July 2019 13:47","https://sullygnome.com/channel/munchikinhwa/stream/35061903488","838","59498","71","296","54","3","2441","171","MapleStory,Teamfight Tactics"
"6","Friday 26th July 2019 17:36","https://sullygnome.com/channel/munchikinhwa/stream/35052002096","339","8136","24","57","1","0","391","68","Teamfight Tactics"
"7","Friday 26th July 2019 14:06","https://sullygnome.com/channel/munchikinhwa/stream/35050113568","174","10614","61","73","7","2","591","197","MapleStory"
"8","Thursday 25th July 2019 11:42","https://sullygnome.com/channel/munchikinhwa/stream/35037061344","1248","68640","55","263","21","1","2631","125","MapleStory,Teamfight Tactics"
"9","Tuesday 23rd July 2019 11:32","https://sullygnome.com/channel/munchikinhwa/stream/35012456352","1633","58788","36","248","23","0","2901","106","MapleStory,Teamfight Tactics"
"10","Sunday 21st July 2019 11:37","https://sullygnome.com/channel/munchikinhwa/stream/34988174720","1508","46748","31","186","23","0","2743","108","MapleStory,Unlisted on Twitch,Teamfight Tactics"
"11","Friday 19th July 2019 04:12","https://sullygnome.com/channel/munchikinhwa/stream/34959601296","1143","73152","64","126","34","1","3192","165","MapleStory"
"12","Thursday 18th July 2019 12:55","https://sullygnome.com/channel/munchikinhwa/stream/34950214112","170","13770","81","134","8","2","572","208","MapleStory"
"13","Thursday 18th July 2019 01:12","https://sullygnome.com/channel/munchikinhwa/stream/34945442720","438","74022","169","269","22","3","2138","294","MapleStory"
"14","Wednesday 17th July 2019 06:29","https://sullygnome.com/channel/munchikinhwa/stream/34935441744","661","25779","39","73","4","0","1307","116","MapleStory"
"15","Wednesday 17th July 2019 02:49","https://sullygnome.com/channel/munchikinhwa/stream/34933834608","146","7008","48","58","3","1","391","156","MapleStory"
"16","Tuesday 16th July 2019 02:31","https://sullygnome.com/channel/munchikinhwa/stream/34921076416","749","32956","44","68","7","0","1888","151","MapleStory"
"17","Monday 15th July 2019 14:04","https://sullygnome.com/channel/munchikinhwa/stream/34912826256","116","10556","91","238","9","3","657","262","MapleStory"
"18","Monday 15th July 2019 05:10","https://sullygnome.com/channel/munchikinhwa/stream/34910048688","425","25075","59","82","14","1","1291","178","MapleStory"
"19","Sunday 14th July 2019 13:16","https://sullygnome.com/channel/munchikinhwa/stream/34899676880","389","17894","46","88","9","1","1196","136","MapleStory"
"20","Saturday 13th July 2019 11:32","https://sullygnome.com/channel/munchikinhwa/stream/34874567456","1048","55544","53","122","54","1","5492","130","MapleStory"
"21","Friday 12th July 2019 06:19","https://sullygnome.com/channel/munchikinhwa/stream/34873205088","191","4202","22","31","2","0","284","87","MapleStory"
"22","Friday 12th July 2019 04:39","https://sullygnome.com/channel/munchikinhwa/stream/34872564816","21","420","20","27","-1","-2","0","0","MapleStory"
"23","Thursday 11th July 2019 10:44","https://sullygnome.com/channel/munchikinhwa/stream/34862057072","526","25774","49","72","11","1","1231","136","MapleStory"
"24","Thursday 11th July 2019 08:05","https://sullygnome.com/channel/munchikinhwa/stream/34861261328","115","3565","31","42","4","2","383","191","MapleStory"
"25","Wednesday 10th July 2019 01:30","https://sullygnome.com/channel/munchikinhwa/stream/34845875424","360","19080","53","75","13","2","874","145","MapleStory"
"26","Tuesday 9th July 2019 05:35","https://sullygnome.com/channel/munchikinhwa/stream/34835421872","370","17390","47","63","15","2","751","120","MapleStory"
"27","Tuesday 9th July 2019 01:36","https://sullygnome.com/channel/munchikinhwa/stream/34833383088","174","10440","60","76","4","1","405","135","MapleStory"
"28","Sunday 7th July 2019 23:35","https://sullygnome.com/channel/munchikinhwa/stream/34819865552","835","39245","47","72","28","1","1824","128","MapleStory"
"29","Sunday 7th July 2019 08:19","https://sullygnome.com/channel/munchikinhwa/stream/34811455040","146","3796","26","34","-1","0","285","114","MapleStory"
"30","Sunday 7th July 2019 05:55","https://sullygnome.com/channel/munchikinhwa/stream/34810629392","65","2730","42","54","0","0","168","134","MapleStory"
"31","Sunday 7th July 2019 03:15","https://sullygnome.com/channel/munchikinhwa/stream/34809401872","60","4200","70","85","1","1","116","116","MapleStory"
"32","Saturday 6th July 2019 05:00","https://sullygnome.com/channel/munchikinhwa/stream/34797723760","690","32430","47","76","10","0","1487","132","MapleStory"
"33","Saturday 6th July 2019 03:08","https://sullygnome.com/channel/munchikinhwa/stream/34796769696","52","2756","53","79","1","1","124","124","MapleStory"
"34","Friday 5th July 2019 00:16","https://sullygnome.com/channel/munchikinhwa/stream/34783229584","269","12374","46","67","4","0","504","112","MapleStory"
"35","Thursday 4th July 2019 03:48","https://sullygnome.com/channel/munchikinhwa/stream/34773269984","537","31683","59","106","5","0","1112","130","MapleStory"
"36","Thursday 4th July 2019 02:17","https://sullygnome.com/channel/munchikinhwa/stream/34772421040","58","2146","37","51","0","0","97","97","MapleStory"
"37","Thursday 4th July 2019 01:03","https://sullygnome.com/channel/munchikinhwa/stream/34771668096","27","621","23","47","1","1","19","25","MapleStory"
"38","Wednesday 3rd July 2019 00:37","https://sullygnome.com/channel/munchikinhwa/stream/34758907920","113","3616","32","42","1","0","208","104","MapleStory"
"39","Tuesday 2nd July 2019 12:26","https://sullygnome.com/channel/munchikinhwa/stream/34751163376","259","11396","44","74","3","0","540","120","MapleStory"
